"grid_id","FD.FRic","FD.FEve","FD.FDiv","FD.FDis","FD.RaoQ"
8176,119.544465026589,0.800953724346555,0.735434506940286,1.92257249093742,4.95901639344262
8177,127.028788837274,0.798877579881377,0.742208251155155,1.92230241349066,4.96
8178,145.948169597855,0.796877364505163,0.746778650126477,1.93774495260153,4.96402877697842
8179,159.402588314071,0.805464154817494,0.75027783800558,1.94341486335783,4.96527777777778
8180,167.375354473505,0.809097205851122,0.754729713158894,1.95279741203142,4.96732026143791
8181,154.54871086921,0.812590091257047,0.75175298597125,1.94034511418715,4.97041420118343
8182,129.845992068358,0.813916723171743,0.738780062533965,1.91512351914586,4.97159090909091
8183,151.915601309942,0.811646022821846,0.738918155419125,1.91937937328426,4.97382198952879
8184,160.059901630987,0.815957513232036,0.743440799998472,1.92764587477872,4.97512437810945
8185,169.956326179897,0.817884427934306,0.747378571900208,1.93657957043288,4.97652582159624
8186,161.626462142612,0.818030749165249,0.745421017433003,1.93368539762963,4.97727272727273
8187,155.857222346773,0.818654075841593,0.743811753751154,1.9365386047536,4.97674418604651
8188,150.934617487579,0.818739746651902,0.742021957107157,1.93550746456276,4.97619047619048
8189,148.35931645987,0.813358802408153,0.740080518990952,1.93119691100156,4.97584541062802
8190,142.044975269208,0.815684963719064,0.741618608907041,1.93275514868213,4.975
8191,141.251878301023,0.812968100832351,0.742317366104062,1.93372652104227,4.9748743718593
8192,139.124934408432,0.811907882813748,0.740918311983205,1.93035006376816,4.97422680412371
8193,134.894460552324,0.814030053090316,0.741908357688387,1.93271683837451,4.9740932642487
8194,133.848183941625,0.816847395491386,0.740812766345015,1.9295043018974,4.97368421052632
8195,120.335120833123,0.816833894069936,0.737481948923622,1.9276483657155,4.97354497354497
8196,139.029438604811,0.812703322162143,0.7373756435909,1.92804435337885,4.97395833333333
8197,137.445027782779,0.816900456025399,0.740144272750379,1.93297661122425,4.97382198952879
8198,142.108843198977,0.814733384365319,0.740013650290359,1.93107385639469,4.97395833333333
8199,144.29715508266,0.809706975728682,0.735528000658566,1.93149702213732,4.97422680412371
8200,154.706965280908,0.821023889351657,0.738809556194241,1.94004653057218,4.97607655502392
8201,169.128668341096,0.824845789998917,0.737480213252288,1.94068765101803,4.97757847533632
8202,176.251037440037,0.830348591664398,0.742410025015469,1.94618616239746,4.9789029535865
8203,194.126467844234,0.832029885535655,0.74361313482261,1.94868043933022,4.97975708502024
8204,197.080236566064,0.830107125909196,0.743372721317204,1.94994729646267,4.98062015503876
8205,203.456186265788,0.826909466891554,0.740897241768826,1.94263900960869,4.98076923076923
8206,207.918500340831,0.830152546648503,0.741185283730499,1.93624537751658,4.9814126394052
8207,210.576994020356,0.829514093522511,0.742904846146326,1.93616994035232,4.9814126394052
