"X","name","result.category","result.published_year"
763,"Falco peregrinus","LC",2021
764,"Falco severus","LC",2021
765,"Falco subbuteo","LC",2021
766,"Falco tinnunculus","LC",2021
767,"Falco vespertinus","VU",2021
768,"Feihyla fuhua","LC",2020
769,"Feihyla palpebralis","NT",2004
770,"Fejervarya cancrivora","LC",2004
771,"Fejervarya limnocharis","LC",2004
772,"Fejervarya multistriata","DD",2004
773,"Felis bieti","VU",2022
774,"Felis chaus","LC",2021
775,"Felis silvestris","LC",2022
776,"Feresa attenuata","LC",2018
777,"Ficedula albicilla","LC",2017
778,"Ficedula elisae","LC",2016
779,"Ficedula erithacus","LC",2016
780,"Ficedula hodgsoni","LC",2020
781,"Ficedula hyperythra","LC",2017
782,"Ficedula mugimaki","LC",2016
783,"Ficedula sapphira","LC",2016
784,"Ficedula strophiata","LC",2016
785,"Ficedula superciliaris","LC",2020
786,"Ficedula tricolor","LC",2016
787,"Ficedula westermanni","LC",2016
788,"Ficedula zanthopygia","LC",2016
789,"Fowlea flavipunctatus","LC",2012
790,"Francolinus pintadeanus","LC",2016
791,"Fregata ariel","LC",2018
792,"Fringilla coelebs","LC",2019
793,"Fringilla montifringilla","LC",2016
794,"Fulica atra","LC",2019
795,"Fulvetta cinereiceps","LC",2016
796,"Fulvetta formosana","LC",2016
797,"Fulvetta ludlowi","LC",2016
798,"Fulvetta manipurensis","LC",2017
799,"Fulvetta ruficapilla","LC",2016
800,"Fulvetta striaticollis","LC",2016
801,"Fulvetta vinipectus","LC",2018
802,"Galerida cristata","LC",2019
803,"Gallicrex cinerea","LC",2016
804,"Gallinago gallinago","LC",2019
805,"Gallinago nemoricola","VU",2017
806,"Gallinago solitaria","LC",2016
807,"Gallinago stenura","LC",2016
808,"Gallinula chloropus","LC",2019
809,"Gallus gallus","LC",2016
810,"Gampsorhynchus rufulus","LC",2016
811,"Gampsorhynchus torquatus","LC",2016
812,"Garrulax canorus","LC",2018
813,"Garrulax castanotis","LC",2018
814,"Garrulax leucolophus","LC",2016
815,"Garrulax maesi","LC",2016
816,"Garrulax merulinus","LC",2016
817,"Garrulax monileger","LC",2016
818,"Garrulax strepitans","LC",2016
819,"Garrulax taewanus","NT",2016
820,"Garrulus bispecularis","LC",2017
821,"Garrulus glandarius","LC",2017
822,"Garrulus leucotis","LC",2017
823,"Gavia arctica","LC",2018
824,"Gazella subgutturosa","VU",2017
825,"Gecinulus grantia","LC",2016
826,"Gekko adleri","LC",2018
827,"Gekko auriverrucosus","DD",2021
828,"Gekko bannaense","DD",2019
829,"Gekko chinensis","LC",2019
830,"Gekko gecko","LC",2019
831,"Gekko guishanicus","DD",2021
832,"Gekko hokouensis","LC",2019
833,"Gekko japonicus","LC",2019
834,"Gekko kwangsiensis","DD",2021
835,"Gekko liboensis","DD",2021
836,"Gekko melli","LC",2021
837,"Gekko reevesii","LC",2021
838,"Gekko scabridus","LC",2021
839,"Gekko similignum","LC",2019
840,"Gekko subpalmatus","LC",2019
841,"Gekko swinhonis","VU",2021
842,"Gekko taibaiensis","DD",2021
843,"Gekko wenxianensis","DD",2021
844,"Gelochelidon nilotica","LC",2019
845,"Geoemyda spengleri","EN",2020
846,"Geokichla citrina","LC",2019
847,"Geokichla sibirica","LC",2016
848,"Glandirana emeljanovi","LC",2020
849,"Glandirana minima","EN",2020
850,"Glandirana tientaiensis","LC",2020
851,"Glareola lactea","LC",2016
852,"Glareola maldivarum","LC",2016
853,"Glareola pratincola","LC",2017
854,"Glaucidium brodiei","LC",2021
855,"Glaucidium cuculoides","LC",2016
856,"Glaucidium passerinum","LC",2016
857,"Globicephala macrorhynchus","LC",2018
858,"Glyphoglossus yunnanensis","LC",2022
859,"Goniurosaurus araneus","EN",2021
860,"Goniurosaurus bawanglingensis","EN",2019
861,"Goniurosaurus hainanensis","NT",2021
862,"Goniurosaurus liboensis","EN",2019
863,"Goniurosaurus luii","VU",2021
864,"Goniurosaurus zhelongi","EN",2019
865,"Goniurosaurus zhoui","DD",2019
866,"Gonyosoma boulengeri","LC",2012
867,"Gonyosoma prasinum","LC",2021
868,"Gorsachius goisagi","VU",2020
869,"Gorsachius melanolophus","LC",2016
870,"Gracixalus carinensis","DD",2021
871,"Gracixalus gracilipes","LC",2022
872,"Gracixalus guangdongensis","LC",2020
873,"Gracixalus jinxiuensis","VU",2004
874,"Gracixalus medogensis","DD",2020
875,"Gracixalus tianlinensis","DD",2020
876,"Gracula religiosa","LC",2018
877,"Gracupica contra","LC",2017
878,"Gracupica nigricollis","LC",2016
879,"Graminicola striatus","NT",2021
880,"Grammatoptila striata","LC",2018
881,"Grampus griseus","LC",2018
882,"Grandala coelicolor","LC",2018
883,"Grus antigone","VU",2016
884,"Grus grus","LC",2016
885,"Grus japonensis","VU",2021
886,"Grus monacha","VU",2016
887,"Grus nigricollis","NT",2020
888,"Grus vipio","VU",2018
889,"Gulo gulo","LC",2016
890,"Gypaetus barbatus","NT",2021
891,"Gyps bengalensis","CR",2021
892,"Gyps fulvus","LC",2021
893,"Gyps himalayensis","NT",2021
894,"Hadromys yunnanensis","DD",2016
895,"Haematopus ostralegus","NT",2019
896,"Halcyon coromanda","LC",2016
897,"Halcyon pileata","VU",2022
898,"Halcyon smyrnensis","LC",2017
899,"Haliaeetus albicilla","LC",2021
900,"Haliaeetus leucogaster","LC",2020
901,"Haliaeetus leucoryphus","EN",2021
902,"Haliastur indus","LC",2016
903,"Hapalomys delacouri","NT",2021
904,"Harpactes erythrocephalus","LC",2016
905,"Harpactes oreskios","LC",2018
906,"Harpactes wardi","NT",2016
907,"Harpiocephalus harpia","LC",2019
908,"Harpiola isodon","LC",2020
909,"Hebius boulengeri","LC",2016
910,"Hebius chapaensis","DD",2012
911,"Hebius craspedogaster","LC",2016
912,"Hebius miyajimae","VU",2016
913,"Hebius popei","LC",2016
914,"Hebius sauteri","LC",2016
915,"Hebius taronensis","NT",2016
916,"Hebius venningi","LC",2020
917,"Hebius vibakari","LC",2021
918,"Helarctos malayanus","VU",2017
919,"Helopsaltes certhiola","LC",2016
920,"Helopsaltes fasciolata","LC",2017
921,"Helopsaltes pleskei","VU",2017
922,"Helopsaltes pryeri","NT",2017
923,"Hemidactylus bowringii","LC",2019
924,"Hemidactylus brookii","LC",2019
925,"Hemidactylus frenatus","LC",2021
926,"Hemidactylus stejnegeri","LC",2019
927,"Hemidactylus vietnamensis","LC",2018
928,"Hemiechinus auritus","LC",2021
929,"Hemiphyllodactylus changningensis","LC",2021
930,"Hemiphyllodactylus hongkongensis","NT",2021
931,"Hemiphyllodactylus huishuiensis","DD",2021
932,"Hemiphyllodactylus yunnanensis","LC",2019
933,"Hemiphyllodactylus zugi","DD",2018
934,"Hemiprocne coronata","LC",2018
935,"Hemipus picatus","LC",2018
936,"Hemitesia pallidipes","LC",2016
937,"Hemitragus jemlahicus","NT",2020
938,"Hemixos castanonotus","LC",2016
939,"Hemixos flavala","LC",2016
940,"Hemorrhois ravergieri","LC",2017
941,"Herpestes auropunctatus","LC",2016
942,"Herpestes javanicus","LC",2016
943,"Herpestes urva","LC",2015
944,"Heterophasia auricularis","LC",2016
945,"Heterophasia capistrata","LC",2016
946,"Heterophasia desgodinsi","LC",2018
947,"Heterophasia gracilis","LC",2018
948,"Heterophasia melanoleuca","LC",2016
949,"Heterophasia picaoides","LC",2016
950,"Heterophasia pulchella","LC",2018
951,"Heteroxenicus stellatus","LC",2018
952,"Hieraaetus pennatus","LC",2021
953,"Hierococcyx hyperythrus","LC",2016
954,"Hierococcyx nisicolor","LC",2016
955,"Hierococcyx sparverioides","LC",2016
956,"Himalayapsitta finschii","NT",2017
957,"Himalayapsitta roseata","NT",2017
958,"Himantopus himantopus","LC",2019
959,"Hipposideros armiger","LC",2020
960,"Hipposideros gentilis","LC",2020
961,"Hipposideros grandis","LC",2016
962,"Hipposideros larvatus","LC",2020
