Species,Body_size_mm,Body_size_mm_male,Body_size_mm_female,Egg_size,Litter_size_min_n,Litter_size_max_n,Development_mode,Breeding_site,Adult_microhabitat,Primary_larval_habitat,Reproductive_cycle,Parent_care,Fertilization_type,Habitat_specificity,iucn2020_binomial
Rana johnsi,44.8,43.1,46.5,2.29,1500,1500,1,1,3,2,0,0,1,3,Rana johnsi
Rana kukunoris,59.1,56,62,1.8,265,2000,1,1,2,1,0,0,1,2,Rana kukunoris
Rana longicrus,44.7,42,48,,400,400,1,1,2,1,0,0,1,4,Rana longicrus
Rana omeimontis,63.4,60,67,1.9,800,2300,1,1,3,1,0,0,1,3,Rana omeimontis
Rana sangzhiensis,49.75,47.8,51.9,2.1,725,725,1,1,3,2,0,0,1,1,Pseudorana sangzhiensis
Rana sauteri,45.25,40,51,2.6,511,535,1,1,3,2,0,0,1,2,Rana sauteri
Rana shuchinae,36.2,33,40,2.15,180,180,1,2,1,1,1,0,1,3,Rana shuchinae
Rana weiningensis,39,43.5,48.95,2.3,313,313,1,1,2,2,0,0,1,3,Pseudorana weiningensis
Rana zhenhaiensis,47.25,46,48,1.8,402,1364,1,1,3,1,0,0,1,4,Rana zhenhaiensis
Ranodon sibiricus,75,,,4.5,50,50,1,1,1,2,0,0,1,3,Ranodon sibiricus
Raorchestes longchuanensis,19.8,19.5,,,,,1,1,4,1,0,0,1,1,Raorchestes longchuanensis
Raorchestes menglaensis,18.05,16,20,,,,1,1,4,2,1,0,1,2,Raorchestes menglaensis
Rhacophorus arvalis,52,43,62,2.5,104,311,0,4,4,1,0,0,1,4,Rhacophorus arvalis
Rhacophorus aurantiventris,51.2,51,,,,,0,4,4,1,1,0,1,1,Zhangixalus aurantiventris
Rhacophorus bipunctatus,43.9,34.9,52.9,,,,1,4,4,1,0,0,1,4,Rhacophorus bipunctatus
Rhacophorus burmanus,67.5,63,74,2.5,530,530,0,4,4,1,0,0,1,4,Rhacophorus burmanus
Rhacophorus chenfui,43.2,37,50.5,,,,1,1,2,1,0,0,1,5,Zhangixalus chenfui
Rhacophorus dennysi,90,80,96,2,1329,4041,0,4,4,1,0,0,1,3,Zhangixalus dennysi
Rhacophorus dorsoviridis,37.2,38.65,,,,,1,1,2,1,0,0,1,1,Zhangixalus dorsoviridis
Rhacophorus dugritei,52.6,43.5,61,2.5,400,400,0,2,2,1,0,0,1,4,Zhangixalus dugritei
Rhacophorus feae,101.65,98.5,92,,,,0,4,4,1,1,0,1,3,Zhangixalus feae
Rhacophorus hongchibaensis,51.7,48.1,55.3,,,,1,1,2,1,0,0,1,3,Zhangixalus hongchibaensis
Rhacophorus hungfuensis,40.25,35,46,,,,0,2,4,1,0,0,1,3,Zhangixalus hungfuensis
Rhacophorus kio,74.75,69,84.5,3,113,113,0,4,4,1,1,0,1,2,Rhacophorus kio
Rhacophorus laoshan,35.1,35,,,,,0,4,4,1,0,0,1,2,Rhacophorus laoshan
Rhacophorus leucofasciatus,48.2,41.5,,,,,0,4,4,1,0,0,1,2,Zhangixalus leucofasciatus
Rhacophorus maximus,71.9,75.5,70,,,,0,1,4,1,0,0,1,3,Rhacophorus maximus
Rhacophorus minimus,32.75,30.5,35,,,,1,1,2,1,0,0,1,3,Zhangixalus minimus
Rhacophorus moltrechti,45.95,39.5,49.5,2.5,180,180,0,3,3,1,1,0,1,4,Zhangixalus moltrechti
Rhacophorus nigropunctatus,39.35,34.5,44.5,1.8,,,1,1,2,1,1,0,1,4,Zhangixalus nigropunctatus
Rhacophorus omeimontis,67.35,59,75,3.3,436,436,0,4,4,1,1,1,1,4,Zhangixalus omeimontis
Rhacophorus prasinatus,55.4,52.5,59.5,2.3,,,0,4,4,1,1,0,1,3,Zhangixalus prasinatus
Rhacophorus rhodopus,41.7,34.5,44.5,,120,134,0,4,4,1,1,0,1,3,Rhacophorus rhodopus
Rhacophorus taipeianus,35.2,34,36,3,,,0,3,4,1,0,0,1,4,Zhangixalus taipeianus
Rhacophorus translineatus,58.95,55.5,62,2.7,,,0,4,4,1,1,0,1,2,Rhacophorus translineatus
Rhacophorus wui,43.95,37.1,50.8,2.5,,,1,2,2,1,0,0,1,2,Zhangixalus wui
Rhacophorus yaoshanensis,42.55,33,51,,,,1,2,4,1,0,0,1,1,Zhangixalus yaoshanensis
Rhacophorus yinggelingensis,43.2,43,,,,,0,4,4,1,0,0,1,1,Zhangixalus yinggelingensis
Salamandrella keyserlingii,49.25,57.6,61.7,1.75,72,144,1,1,2,2,0,0,1,6,Salamandrella keyserlingii
Scutiger boulengeri,57.75,53.5,62,3,380,380,1,1,2,2,0,0,1,1,Scutiger boulengeri
Scutiger chintingensis,46.4,46,50.5,3.5,130,164,1,1,2,2,0,0,1,2,Scutiger chintingensis
Scutiger glandulatus,72.6,79,71,3.5,,,1,1,2,2,1,0,1,2,Scutiger glandulatus
Scutiger gongshanensis,53.25,52,54.5,4,,,0,1,3,2,0,1,1,2,Scutiger gongshanensis
Scutiger jiulongensis,70.34,74.5,,3.3,990,990,1,1,2,2,0,0,1,2,Scutiger jiulongensis
Scutiger liupanensis,49.3,44.5,56,3.25,,,1,1,2,2,0,0,1,2,Scutiger liupanensis
Scutiger maculatus,67.2,65.4,69,,,,1,1,2,2,0,0,1,4,Scutiger maculatus
Scutiger mammatus,69.2,71.5,69.5,2.7,485,718,1,1,1,2,0,0,1,4,Scutiger mammatus
Scutiger muliensis,68.6,74,64,2.7,200,200,1,1,2,2,0,0,1,4,Scutiger muliensis
Scutiger ningshanensis,46,47.5,47,,,,1,1,3,2,1,0,1,3,Scutiger ningshanensis
Scutiger nyingchiensis,63.45,57.5,70,2.8,1000,1000,1,1,2,2,0,1,1,3,Scutiger nyingchiensis
Scutiger pingwuensis,73.1,68.5,78,4,505,505,1,1,2,2,0,0,1,2,Scutiger pingwuensis
Scutiger sikimmensis,54.65,51,57.5,3.4,480,480,1,1,2,2,0,0,1,3,Scutiger sikimmensis
Scutiger tuberculatus,71.75,72,71.5,3,436,436,1,1,2,2,0,1,1,3,Scutiger tuberculatus
Scutiger wanglangensis,59.9,55.5,64,3,204,232,1,1,2,2,0,0,1,2,Scutiger wanglangensis
Strauchbufo raddei,58.35,58,59,1.4,3000,3000,1,1,3,1,1,0,1,8,Strauchbufo raddei
Sylvirana cubitalis,60.5,60,61,,,,1,1,2,2,0,0,1,2,Sylvirana cubitalis
Sylvirana guentheri,71.55,71,72,1.35,990,3000,1,1,1,1,0,0,1,6,Sylvirana guentheri
Sylvirana maosonensis,44.35,37,51.8,,,,1,1,2,2,0,0,1,2,Sylvirana maosonensis
Sylvirana nigrovittata,44,42,47.5,1.4,232,330,1,1,2,2,0,0,1,2,Sylvirana nigrovittata
Sylvirana spinulosa,46.1,41,52,,,,1,1,2,2,0,0,1,2,Sylvirana spinulosa
Theloderma albopunctatum,32.5,,,,,,1,1,4,1,0,0,1,2,Theloderma albopunctatum
Theloderma rhododiscus,26.85,26,27.5,2.5,25,25,0,1,2,1,1,0,1,2,Theloderma rhododiscus
Tylototriton asperrimus,76.4,65.8,87,3.5,30,52,0,3,3,2,0,0,0,2,Tylototriton asperrimus
Tylototriton broadoridgus,75.17,66.5,83.3,,,,1,1,3,1,0,1,0,3,Tylototriton broadoridgus
Tylototriton dabienicus,57.985,,,2.19,99,99,0,1,3,1,0,0,0,2,Tylototriton dabienicus
Tylototriton hainanensis,75.75,75,76.3,3,58,90,0,3,3,2,0,0,0,2,Tylototriton hainanensis
Tylototriton kweichowensis,103.5,96.2,110.8,2.7,95,227,1,1,2,2,0,0,0,4,Tylototriton kweichowensis
Tylototriton lizhengchangi,75.525,,,,,,1,1,2,1,0,0,0,2,Tylototriton lizhengchangi
Tylototriton pseudoverrucosus,74.875,,,,,,1,1,1,1,0,0,0,3,Tylototriton pseudoverrucosus
Tylototriton shanjing,78.45,73.6,83.3,2.75,75,119,1,1,3,2,0,0,0,3,Tylototriton shanjing
Tylototriton taliangensis,98.05,93.1,103,,250,274,1,2,3,2,0,0,0,3,Tylototriton taliangensis
Tylototriton verrucosus,87.5,63.9,77.8,,150,150,1,2,3,1,0,0,0,4,Tylototriton verrucosus
Tylototriton wenxianensis,75.505,,,,,,0,3,3,1,0,1,0,3,Tylototriton wenxianensis
Tylototriton yangi,80.335,,,,,,1,1,1,1,0,0,0,2,Tylototriton yangi
Xenophrys baolongensis,43.2,43.5,,,,,1,1,2,2,0,0,1,1,Xenophrys baolongensis
Xenophrys binchuanensis,37.6,34,41.5,,,,1,1,2,2,0,0,1,2,Megophrys binchuanensis
Xenophrys boettgeri,39.3,36.5,43.5,2.6,200,200,1,1,2,2,0,0,1,2,Megophrys boettgeri
Xenophrys brachykolos,39.25,37,35,2.5,305,305,1,1,2,2,0,0,1,2,Megophrys brachykolos
Xenophrys caudoprocta,77.5,77,78,,,,1,1,3,2,0,0,1,1,Megophrys caudoprocta
Xenophrys daweimontis,39.45,35.5,43,,,,1,1,3,2,0,0,1,2,Megophrys daweimontis
Xenophrys glandulosa,82.6,78.5,88.5,2.3,954,954,1,1,2,2,0,0,1,1,Megophrys glandulosa
Xenophrys huangshanensis,41.45,39,44,2.2,245,289,1,1,2,2,0,0,1,2,Megophrys huangshanensis
Xenophrys jingdongensis,59.15,55,64,2.2,215,215,1,1,2,2,0,0,1,2,Megophrys jingdongensis
Xenophrys kuatunensis,32.75,28,34,,,,1,1,2,2,0,0,1,2,Megophrys kuatunensis
Xenophrys major,73.5,66,81.5,2.5,,,1,1,2,2,0,0,1,2,Megophrys major
Xenophrys mangshanensis,67.75,63,73,,,,1,1,2,2,0,0,1,2,Megophrys mangshanensis
Xenophrys medogensis,63,62.5,,,,,1,1,2,2,0,0,1,2,Megophrys medogensis
Xenophrys minor,40.1,36.5,45,,,,1,1,2,2,1,0,1,2,Megophrys minor
Xenophrys omeimontis,64.15,57,71,2.8,282,429,1,1,2,2,0,0,1,2,Megophrys omeimontis
Xenophrys palpebralespinosa,36.5,37,,,,,1,1,2,2,0,0,1,2,Megophrys palpebralespinosa
Xenophrys parva,44,43,45,,,,1,1,2,2,0,0,1,2,Megophrys parva
Xenophrys sangzhiensis,65.55,54.7,,,,,1,1,2,2,0,0,1,1,Megophrys sangzhiensis
Xenophrys shuichengensis,113,108,118,,,,1,1,2,2,0,0,1,2,Megophrys shuichengensis
Xenophrys spinata,52.25,50,55,3,,,1,1,2,2,0,0,1,2,Megophrys spinata
Xenophrys tuberogranulatus,54.99,37.16,50.5,,,,1,1,2,2,0,0,1,3,Megophrys tuberogranulata
Xenophrys wuliangshanensis,35.6,30,41,,,,1,1,2,2,0,0,1,2,Megophrys wuliangshanensis
Xenophrys wushanensis,35.65,33,38,,,,1,1,2,2,0,0,1,2,Megophrys wushanensis
Xenophrys zhangi,34.7,35,,,,,1,1,2,2,0,0,1,2,Megophrys zhangi
