Species,Body_size_mm,Body_size_mm_male,Body_size_mm_female,Egg_size,Litter_size_min_n,Litter_size_max_n,Development_mode,Breeding_site,Adult_microhabitat,Primary_larval_habitat,Reproductive_cycle,Parent_care,Fertilization_type,Habitat_specificity,iucn2020_binomial
Batrachuperus karlschmidti,88.48,94.19,82.77,3.7,7,12,1,1,1,2,0,0,1,1,Batrachuperus karlschmidti
Batrachuperus londongensis,97.65,109.13,110.1,3.75,,,1,1,1,2,0,0,1,1,Batrachuperus londongensis
Batrachuperus pinchonii,67.95,69.6,74.6,3.7,15,52,1,1,1,2,0,0,1,2,Batrachuperus pinchonii
Batrachuperus tibetanus,93.65,94.5,92.8,3.7,36,50,1,1,1,2,0,0,1,1,Batrachuperus tibetanus
Batrachuperus yenyuanensis,78.8,85.8,86.45,1.15,12,25,1,1,1,2,0,0,1,1,Batrachuperus yenyuanensis
Bombina fortinuptialis,320.25,58,56.5,2.75,,,0,1,2,1,0,1,1,2,Bombina fortinuptialis
Bombina lichuanensis,60.9,58,63.5,3.4,,,1,1,2,1,1,0,1,2,Bombina lichuanensis
Bombina maxima,47.5,49,46.5,3.2,,,1,1,1,1,0,0,1,3,Bombina maxima
Bombina microdeladigitora,76.1,71.5,73.5,,,,0,3,3,1,0,0,1,1,Bombina microdeladigitora
Bombina orientalis,42,41.5,41.5,2,133,330,1,1,1,2,0,0,1,6,Bombina orientalis
Brachytarsophrys carinense,119.75,103,137,4.6,,,1,1,2,2,0,0,1,2,Megophrys carinense
Brachytarsophrys chuannanensis,110.9,102,,4,1000,1001,1,1,2,2,0,0,1,2,Megophrys chuannanensis
Brachytarsophrys feae,98.4,96,101,4,157,157,1,1,2,2,0,0,1,1,Megophrys feae
Buergeria japonica,32.5,29,36,1.55,600,600,1,1,2,2,1,0,1,2,Buergeria japonica
Buergeria oxycephala,50.5,37,65,1.5,,,1,1,2,2,1,0,1,3,Buergeria oxycephala
Buergeria robusta,58.65,60,67,2.5,600,600,1,1,2,2,1,0,1,2,Buergeria robusta
Bufo ailaoanus,46.5,40,53.5,2.75,,,1,1,2,1,0,0,1,1,Bufo ailaoanus
Bufo aspinius,84.7,72.5,92,,1500,3000,1,1,2,2,0,0,1,3,Bufo aspinius
Bufo bankorensis,89.25,80,70.5,1.5,5000,5000,1,1,3,1,1,0,1,4,Bufo bankorensis
Bufo cryptotympanicus,68,67.5,68.5,,,,1,1,2,1,0,0,1,2,Bufo cryptotympanicus
Bufo gargarizans,100,84,95.5,1.75,2700,8000,0,1,3,2,1,0,1,6,Bufo gargarizans
Bufo luchunnicus,63,59,67.5,,,,1,1,2,2,0,0,1,2,Bufo luchunnicus
Bufo stejnegeri,54.8,55.5,55,,700,960,1,1,2,2,0,0,1,2,Bufo stejnegeri
Bufo tuberculatus,70.6,68.5,73.5,,,,1,1,2,1,0,0,1,2,Bufo tuberculatus
Bufotes pewzowi,64.15,72.2,80.3,1.3,3250,3250,1,1,3,1,0,0,1,5,Bufotes pewzowi
Chiromantis doriae,28,26,31.5,1.4,180,180,0,4,4,1,1,0,1,4,Chirixalus doriae
Cynops chenggongensis,41.2,,,1.85,200,200,1,1,2,1,0,0,0,2,Cynops chenggongensis
Cynops cyanurus,55.25,78,87.3,1.8,225,225,1,1,1,1,1,0,0,3,Cynops cyanurus
Cynops fudingensis,43.45,39.8,44.1,,,,1,1,2,1,0,0,0,2,Cynops fudingensis
Cynops orientalis,43.7,40.1,48,2,100,100,1,1,1,1,0,0,0,5,Cynops orientalis
Cynops orphicus,46.9,,,,,,1,1,1,1,0,0,0,4,Cynops orphicus
