"FD.FRic","FD.FEve","FD.FDiv","FD.FDis","FD.RaoQ","grid_id"
0.0136540128874972,0.44571762905981,0.758909803375449,0.815666748424109,0.728619135183607,3823
0.839930958888285,0.614337071802847,0.718316680469686,1.68454262334591,3.62539783683762,3824
1.227411580963,0.627823739115326,0.709301131400295,1.61444085996466,3.41358498559101,3825
1.22610921178516,0.649396048396782,0.737584644365534,1.71846143065784,3.72941614333982,3826
NA,NA,NA,0,0,3898
NA,NA,NA,0,0,3899
NA,NA,NA,0,0,3900
NA,NA,NA,0,0,3901
NA,NA,NA,0,0,3902
NA,NA,NA,0,0,3903
NA,NA,NA,0,0,3921
NA,NA,NA,0.965187372172141,0.931586663400564,3922
NA,NA,NA,0.965187372172141,0.931586663400564,3923
0.0136540128874972,0.44571762905981,0.758909803375449,0.815666748424109,0.728619135183607,3924
0.764627632347126,0.606946344841289,0.75242724393468,1.49628180010045,2.88001777422082,3925
1.227411580963,0.627823739115326,0.709301131400295,1.61444085996466,3.41358498559101,3926
1.22610921178516,0.649396048396782,0.737584644365534,1.71846143065784,3.72941614333982,3927
1.99169187927501,0.708590058064002,0.712339448738118,1.98915678644845,4.53467356590949,3928
NA,NA,NA,0,0,4000
NA,NA,NA,0,0,4001
NA,NA,NA,0,0,4002
NA,NA,NA,0,0,4003
NA,NA,NA,0,0,4004
NA,NA,NA,0,0,4005
NA,NA,NA,0.965187372172141,0.931586663400564,4023
NA,NA,NA,0.965187372172141,0.931586663400564,4024
0.00908221033108123,0.606342689036641,0.731982477215242,0.882338571450918,0.835574360039846,4025
4.81146891020393,0.562207308942399,0.664619719149147,2.35921512832967,7.34746022031683,4026
4.81146891020393,0.580180007975546,0.65385641441365,2.40546931739103,7.45216263155736,4027
1.99169187927501,0.676924802999517,0.735283156900871,1.86713566770785,4.16987505095694,4028
1.99169187927501,0.708590058064002,0.712339448738118,1.98915678644845,4.53467356590949,4029
NA,NA,NA,0,0,4102
NA,NA,NA,0,0,4103
NA,NA,NA,0,0,4104
NA,NA,NA,0,0,4105
NA,NA,NA,0,0,4106
NA,NA,NA,0,0,4107
NA,NA,NA,0.965187372172141,0.931586663400564,4125
0.101220566873468,0.824803894190275,0.669670007920028,1.71440878541028,3.1614701890813,4126
1.46534580963673,0.792430951998363,0.689478585173976,2.01123522846663,4.50181362179103,4127
4.81146891020393,0.574797908271228,0.673903661129132,2.31797190684633,7.01894404121039,4128
4.81146891020393,0.591442361665631,0.6654123897033,2.36834716888379,7.16467046402208,4129
2.20409628298662,0.661942406300779,0.795214772943364,2.1832579761604,5.20425715692649,4130
NA,NA,NA,0,0,4204
NA,NA,NA,0,0,4205
NA,NA,NA,0,0,4206
NA,NA,NA,0,0,4207
NA,NA,NA,0,0,4208
NA,NA,NA,0,0,4209
0.795999086596389,0.69666516484634,0.697705811819394,1.60544848335427,3.01764387569652,4227
2.21059836471128,0.759494418840198,0.737365183035013,1.91705242223321,4.13576524419661,4228
2.34543303261704,0.666623126965373,0.798894521139692,1.8350074891866,3.93784038735646,4229
5.39212027926267,0.566208879750138,0.58180411033842,2.21207468166089,6.94354267668868,4230
2.20409628298662,0.661942406300779,0.795214772943364,2.1832579761604,5.20425715692649,4231
2.20409628298662,0.666480644223048,0.787228459706183,2.21804791855586,5.29061451256851,4232
NA,NA,NA,0,0,4307
NA,NA,NA,0,0,4308
NA,NA,NA,0,0,4309
NA,NA,NA,0,0,4310
NA,NA,NA,0,0,4322
NA,NA,NA,0,0,4323
NA,NA,NA,0,0,4324
NA,NA,NA,0,0,4325
NA,NA,NA,0,0,4326
NA,NA,NA,0,0,4327
NA,NA,NA,0,0,4328
0.795999086596389,0.69666516484634,0.697705811819394,1.60544848335427,3.01764387569652,4329
2.42501018830524,0.652908469901735,0.783836487547618,1.95834677176525,4.3346863110766,4330
2.57441782617733,0.663352549309622,0.789509564323415,2.02426367102493,4.60090441960636,4331
1.42210805014915,0.646589634228987,0.753178431449084,1.96224862165115,4.42246211506275,4332
2.20409628298662,0.666480644223048,0.787228459706183,2.21804791855586,5.29061451256851,4333
NA,NA,NA,1.85391158385084,3.43698816073634,4409
NA,NA,NA,0,0,4410
NA,NA,NA,0,0,4411
NA,NA,NA,0,0,4412
NA,NA,NA,4.93211090778764,24.3257180067178,4422
0.344319819538488,0.237834092587157,0.750026634892656,4.452390025558,22.1619788382341,4423
NA,NA,NA,0.6656717834372,0.443118923264462,4424
0.0141207065798488,0.874145070826478,0.75004598075159,1.01609365156515,1.08876018920799,4425
0.0141207065798488,0.874145070826478,0.75004598075159,1.01609365156515,1.08876018920799,4426
