"mammal_ntaxa.x","mammal_mpd.obs","mammal_mpd.rand.mean","mammal_mpd.rand.sd","mammal_mpd.obs.rank","mammal_mpd.obs.z","mammal_mpd.obs.p","mammal_runs.x","mammal_NRI","grid_id","mammal_ntaxa.y","mammal_mntd.obs","mammal_mntd.rand.mean","mammal_mntd.rand.sd","mammal_mntd.obs.rank","mammal_mntd.obs.z","mammal_mntd.obs.p","mammal_runs.y","mammal_NTI"
44,164.12162994926,165.156872561942,2.08298753348171,280,-0.496998947925554,0.28,999,0.496998947925554,10115,44,54.3319173636364,62.7219230806716,5.50782611455224,52,-1.52328805277058,0.052,999,1.52328805277058
42,163.749050081301,165.164434643847,2.1714106096872,233,-0.651827229834803,0.233,999,0.651827229834803,10116,42,57.4326611904762,63.7222512135469,5.61481376013236,140,-1.12017785304466,0.14,999,1.12017785304466
47,162.511600229417,165.18460974343,1.99690323746098,87,-1.33857738515728,0.087,999,1.33857738515728,10117,47,55.8102188510638,61.3877824630588,5.30938770495265,153,-1.0505097615667,0.153,999,1.0505097615667
49,162.563231328231,165.192741807523,1.96771639011725,93,-1.33632595250917,0.093,999,1.33632595250917,10118,49,53.126139877551,60.5015704853833,5.19567339622964,81,-1.41953314717289,0.081,999,1.41953314717289
48,161.362808088652,165.207348256924,1.97026898878767,42,-1.95127680035034,0.042,999,1.95127680035034,10119,48,54.5119212916667,60.9393349924091,5.29281921956067,114,-1.21436486570118,0.114,999,1.21436486570118
48,161.397723026596,165.216903614355,1.98023236319145,45,-1.92865274739964,0.045,999,1.92865274739964,10120,48,56.8874529583333,60.8788803480981,5.29323456788662,224,-0.754062065184158,0.224,999,0.754062065184158
50,160.096792462041,165.252395695352,1.920262457311,15,-2.68484300866373,0.015,999,2.68484300866373,10121,50,55.00672916,60.1774057331732,5.11494605191297,159,-1.01089562249427,0.159,999,1.01089562249427
53,160.177781763425,165.214465456568,1.81730481804668,8,-2.77151287066743,0.008,999,2.77151287066743,10202,53,47.6687853207547,58.5221284707349,4.8621227279867,13,-2.23222319903766,0.013,999,2.23222319903766
53,159.264801281567,165.258363946911,1.8125185684835,3,-3.30675931797959,0.003,999,3.30675931797959,10203,53,51.0600027169811,58.5845548230495,4.8385263741973,58,-1.55513301450519,0.058,999,1.55513301450519
57,160.235038350877,165.265003996947,1.71238835208045,7,-2.93739772287002,0.007,999,2.93739772287002,10204,57,46.8841718245614,57.2008110292749,4.62917752445045,9,-2.22861170266703,0.009,999,2.22861170266703
57,160.235038350877,165.265003996947,1.71238835208045,7,-2.93739772287002,0.007,999,2.93739772287002,10205,57,46.8841718245614,57.2008110292749,4.62917752445045,9,-2.22861170266703,0.009,999,2.22861170266703
57,160.347498598997,165.259252022286,1.71835562392581,6,-2.85840332169836,0.006,999,2.85840332169836,10206,57,44.9065632982456,57.2325020949019,4.56506371323578,5,-2.70005843750196,0.005,999,2.70005843750196
58,160.19879615608,165.251149461986,1.69429748701455,5,-2.98197532878902,0.005,999,2.98197532878902,10207,58,43.3051815862069,56.8962547574816,4.51045315477135,1,-3.01323895957051,0.001,999,3.01323895957051
55,160.583138789226,165.265525302761,1.76460836533823,12,-2.65349898907318,0.012,999,2.65349898907318,10208,55,43.2188864727273,58.0482001383929,4.61438534573332,1,-3.21371375699638,0.001,999,3.21371375699638
52,159.898843980392,165.261515746726,1.86500077472619,8,-2.87542602609415,0.008,999,2.87542602609415,10209,52,48.8259989230769,59.1363730010395,4.79925319903103,15,-2.14832884417189,0.015,999,2.14832884417189
51,159.927408680784,165.247936104672,1.88323691332191,9,-2.82520344957679,0.009,999,2.82520344957679,10210,51,51.1848940784314,59.5325581083436,4.90090268429473,47,-1.7032911215852,0.047,999,1.7032911215852
51,161.477350349804,165.243285602271,1.9099761327104,34,-1.9717184879809,0.034,999,1.9717184879809,10211,51,49.3266532156863,59.4904989084771,5.02199756920961,20,-2.02386511596629,0.02,999,2.02386511596629
45,162.243018272727,165.258099702787,2.05194990235209,82,-1.4693738022567,0.082,999,1.4693738022567,10212,45,52.6345950666667,62.1987698018908,5.42177852624354,38,-1.76402903381791,0.038,999,1.76402903381791
42,162.120292996516,165.262277948863,2.15450094946091,89,-1.458335376057,0.089,999,1.458335376057,10213,42,53.1411219047619,63.7892732221269,5.64559964887573,22,-1.8860974882421,0.022,999,1.8860974882421
42,162.384437993031,165.245713758784,2.15069838677085,97,-1.33039378434138,0.097,999,1.33039378434138,10214,42,49.6828627142857,63.7043323462987,5.6453302053706,8,-2.48372887358721,0.008,999,2.48372887358721
42,162.866428494774,165.188791706157,2.1668973027761,137,-1.07174585911755,0.137,999,1.07174585911755,10215,42,51.0990774285714,63.6508732130702,5.61117389440793,13,-2.23692867494409,0.013,999,2.23692867494409
42,164.050039377468,165.163276262428,2.18389668651351,284,-0.509747961904582,0.284,999,0.509747961904582,10216,42,55.7167702857143,63.7580602942943,5.6463890414195,68,-1.42414735321858,0.068,999,1.42414735321858
42,164.184222415796,165.153018893037,2.17219136343812,298,-0.445999599090608,0.298,999,0.445999599090608,10217,42,57.288191047619,63.7360156621383,5.73546837950809,127,-1.12420192874854,0.127,999,1.12420192874854
43,161.930954750831,165.253630539875,2.08393603702476,72,-1.59442311568673,0.072,999,1.59442311568673,10218,43,59.3857996744186,63.2877204847173,5.57873943419559,246,-0.699426968461969,0.246,999,0.699426968461969
45,160.416615755556,165.261078893268,2.02779125892079,19,-2.38903443162623,0.019,999,2.38903443162623,10219,45,60.2084454666667,62.4295446600378,5.41449405033814,346,-0.41021361787856,0.346,999,0.41021361787856
48,161.402375608156,165.192988051482,1.99437697060677,49,-1.90064992686565,0.049,999,1.90064992686565,10220,48,57.1397905833333,60.9704682348181,5.32267712226511,228,-0.719690028812915,0.228,999,0.719690028812915
50,160.70901691102,165.234203742714,1.92164025453234,22,-2.35485638949367,0.022,999,2.35485638949367,10221,50,56.90422296,60.1185452795195,5.15361671543116,264,-0.623702245821865,0.264,999,0.623702245821865
50,160.739275915102,165.238874353472,1.91287232739546,21,-2.35227326671424,0.021,999,2.35227326671424,10222,50,55.87417548,60.1491605636036,5.11316622491661,197,-0.836073950182076,0.197,999,0.836073950182076
49,159.857471465986,165.259215168834,1.92263839513837,8,-2.80954739929589,0.008,999,2.80954739929589,10223,49,52.6848884081633,60.6618663409532,5.20436225231289,65,-1.53274840336966,0.065,999,1.53274840336966
52,160.49795446908,165.20679262869,1.86008145333819,10,-2.53152255841223,0.01,999,2.53152255841223,10304,52,47.6496325384615,58.9157271605837,4.93417830586792,11,-2.28327675323853,0.011,999,2.28327675323853
55,160.363220160269,165.243028915797,1.78055991020439,11,-2.74060351890534,0.011,999,2.74060351890534,10305,55,47.1397982545455,57.7934319755756,4.78463503138228,12,-2.22663456066204,0.012,999,2.22663456066204
56,159.624182722078,165.270172477329,1.74097037062422,3,-3.24301312102535,0.003,999,3.24301312102535,10306,56,49.0126316785714,57.5234488251466,4.7005419560172,32,-1.81060337854881,0.032,999,1.81060337854881
58,160.321513987901,165.258768606605,1.71091182884863,6,-2.88574462777931,0.006,999,2.88574462777931,10307,58,45.6848304137931,56.8616403779987,4.5382196933712,6,-2.46281817967762,0.006,999,2.46281817967762
58,160.296275282517,165.249674147882,1.6951506727655,7,-2.92209945991643,0.007,999,2.92209945991643,10308,58,43.9774335172414,56.85735148552,4.5466010223941,1,-2.83286743324059,0.001,999,2.83286743324059
56,160.516083427273,165.248372359991,1.72403918515122,9,-2.74488478769892,0.009,999,2.74488478769892,10309,56,43.0710778214286,57.5790474070499,4.59259380912201,1,-3.15899254073046,0.001,999,3.15899254073046
57,160.98381537594,165.264782452542,1.69934368568077,12,-2.51918850358236,0.012,999,2.51918850358236,10310,57,43.5458603508772,57.3311195902569,4.49804625755484,1,-3.06472153687309,0.001,999,3.06472153687309
52,160.075299414781,165.25576410544,1.84565820300225,8,-2.8068386022024,0.008,999,2.8068386022024,10311,52,47.1819787307692,59.1611506260491,4.79925129400306,4,-2.49605014645692,0.004,999,2.49605014645692
51,159.041590927059,165.260414978045,1.88971141029379,5,-3.29088559084218,0.005,999,3.29088559084218,10312,51,48.4909484313725,59.528395354374,4.92334577639603,8,-2.24185897645422,0.008,999,2.24185897645422
49,159.721330945578,165.269658329609,1.92608551871106,9,-2.88062359128438,0.009,999,2.88062359128438,10313,49,50.537108,60.4515427251333,5.1447921822202,30,-1.92708167288009,0.03,999,1.92708167288009
47,161.32203133025,165.248993797599,2.01294754695413,37,-1.95085186064136,0.037,999,1.95085186064136,10314,47,49.6342454468085,61.3268337039167,5.37888785940359,12,-2.1737929034283,0.012,999,2.1737929034283
43,161.845091878184,165.246333251331,2.1263780525311,68,-1.59954687695286,0.068,999,1.59954687695286,10315,43,50.949396,63.2387860352911,5.63130909140236,11,-2.18233271088849,0.011,999,2.18233271088849
45,162.147288349495,165.236823904681,2.06368495773016,76,-1.49709651350305,0.076,999,1.49709651350305,10316,45,50.1617096888889,62.10133769663,5.44589901432531,12,-2.19240716295586,0.012,999,2.19240716295586
47,163.096101117484,165.233945656442,1.9993528644749,138,-1.06926825021429,0.138,999,1.06926825021429,10317,47,53.8522257021277,61.2508683165293,5.26321980708237,76,-1.40572556070065,0.076,999,1.40572556070065
47,162.913649520814,165.201787826154,2.01569387337379,130,-1.13516161137593,0.13,999,1.13516161137593,10318,47,51.3142740425532,61.2065051816071,5.24080242014417,28,-1.88754132402149,0.028,999,1.88754132402149
50,162.127873715918,165.188880062711,1.92315550460222,74,-1.59165826136646,0.074,999,1.59165826136646,10319,50,53.36074704,59.9912536626627,5.01899409061859,93,-1.32108277135777,0.093,999,1.32108277135777
