"lizard_ntaxa.x","lizard_mpd.obs","lizard_mpd.rand.mean","lizard_mpd.rand.sd","lizard_mpd.obs.rank","lizard_mpd.obs.z","lizard_mpd.obs.p","lizard_runs.x","lizard_NRI","grid_id","lizard_ntaxa.y","lizard_mntd.obs","lizard_mntd.rand.mean","lizard_mntd.rand.sd","lizard_mntd.obs.rank","lizard_mntd.obs.z","lizard_mntd.obs.p","lizard_runs.y","lizard_NTI"
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10103,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10104,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10105,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
3,162.241486,334.106726306974,52.6040466416048,15,-3.26714865641239,0.015,999,3.26714865641239,10106,3,150.788114,293.434318274274,80.259918108091,31,-1.77730313756567,0.031,999,1.77730313756567
3,162.241486,334.106726306974,52.6040466416048,15,-3.26714865641239,0.015,999,3.26714865641239,10107,3,150.788114,293.434318274274,80.259918108091,31,-1.77730313756567,0.031,999,1.77730313756567
3,162.241486,334.106726306974,52.6040466416048,15,-3.26714865641239,0.015,999,3.26714865641239,10108,3,150.788114,293.434318274274,80.259918108091,31,-1.77730313756567,0.031,999,1.77730313756567
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10109,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10110,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10111,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10112,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10113,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10114,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10115,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10116,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10117,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10118,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
3,134.994222666667,334.303428146813,52.1216930276457,11,-3.8239204043973,0.011,999,3.8239204043973,10119,3,96.2935873333333,298.815055669002,78.0883965613632,4,-2.59348990699949,0.004,999,2.59348990699949
3,134.994222666667,334.303428146813,52.1216930276457,11,-3.8239204043973,0.011,999,3.8239204043973,10120,3,96.2935873333333,298.815055669002,78.0883965613632,4,-2.59348990699949,0.004,999,2.59348990699949
3,134.994222666667,334.303428146813,52.1216930276457,11,-3.8239204043973,0.011,999,3.8239204043973,10121,3,96.2935873333333,298.815055669002,78.0883965613632,4,-2.59348990699949,0.004,999,2.59348990699949
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10202,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10203,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10204,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10205,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10206,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10207,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10208,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
3,162.241486,334.106726306974,52.6040466416048,15,-3.26714865641239,0.015,999,3.26714865641239,10209,3,150.788114,293.434318274274,80.259918108091,31,-1.77730313756567,0.031,999,1.77730313756567
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10210,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10211,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10212,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10213,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
4,142.891168333333,333.496789850517,38.2686311007452,3,-4.98072745312993,0.003,999,4.98072745312993,10214,4,107.053876,267.035238928428,65.1144025244554,14,-2.4569274496275,0.014,999,2.4569274496275
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10215,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10216,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10217,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10218,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10219,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
5,126.398591,333.646962472472,30.7780645312091,1,-6.73363886355888,0.001,999,6.73363886355888,10220,5,88.5310496,243.727071881882,55.9644794231256,4,-2.77311651750578,0.004,999,2.77311651750578
3,134.994222666667,334.303428146813,52.1216930276457,11,-3.8239204043973,0.011,999,3.8239204043973,10221,3,96.2935873333333,298.815055669002,78.0883965613632,4,-2.59348990699949,0.004,999,2.59348990699949
4,257.569712333333,333.559977443777,38.1752109428423,41,-1.99056568997667,0.041,999,1.99056568997667,10222,4,167.256491,269.287411785285,68.3381630397796,71,-1.49302990081681,0.071,999,1.49302990081681
3,134.994222666667,334.303428146813,52.1216930276457,11,-3.8239204043973,0.011,999,3.8239204043973,10223,3,96.2935873333333,298.815055669002,78.0883965613632,4,-2.59348990699949,0.004,999,2.59348990699949
