Family,Species,Species_origin,Sample_Male_Famle,Male_size_mm,Female_size_mm,Male_mass_g,Female_mass_g,Clutch_size,References
Gekkonidae,Cyrtodactylus tibetanus,Cyrtodactylus tibetanus,NA,59.66,55.96,4.570882,3.801894,4,Li et al. 2010
Gekkonidae,Cyrtodactylus wayakonei,Cyrtodactylus wayakonei,"2,2",82.95,79.25,11.48154,10,NA,Nguyen et al. 2010
Gekkonidae,Cyrtodactylus zhaoermii,Cyrtodactylus zhaoermii,NA,53.92,58.9,3.467369,4.466836,NA,Shi et al. 2010
Gekkonidae,Gehyra mutilata,Gehyra mutilata,"18,20",48,50.91,2.511886,2.951209,1.5,"Zhao et al. 1999, Yang & Rao 2008, Shi et al. 2011, Qian et al. 2019"
Gekkonidae,Gekko adleri,Gekko adleri,"14,7",69,69,6.91831,6.91831,NA,Nguyen et al. 2013
Gekkonidae,Gekko auriverrucosus,Gekko auriverrucosus,"69,80",53.08,58.62,3.311311,4.365158,NA,Zhao et al. 1999
Gekkonidae,Gekko chinensis,Gekko chinensis,"27,25",65.63,65.8,6.025596,6.025596,2,"Zhao et al. 1999, Shi et al. 2011, Yang & Rao 2008"
Gekkonidae,Gekko gecko,Gekko gecko,"10,10",165.2,135.36,75.85776,43.65158,2,R?sler et al. 2011
Gekkonidae,Gekko guishanicus,Gekko guishanicus,"3,2",60.67,62,4.786301,5.128614,NA,Lin & Yao 2016
Gekkonidae,Gekko hokouensis,Gekko hokouensis,"54,58",58.79,61.15,4.365158,4.897788,2,"Shen et al. 2014, Zhao et al. 1999"
Gekkonidae,Gekko japonicus,Gekko japonicus,"145,178",54.93,61.33,3.630781,4.897788,2,"Fan et al. 1997, Zhao et al. 1999, Zhao  2003, measured by Liang tao"
Gekkonidae,Gekko kwangsiensis,Gekko kwangsiensis,"3,1",66.03,65.5,6.025596,5.888437,NA,Yang 2015
Gekkonidae,Gekko liboensis,Gekko liboensis,"17,11+",77.1,79.65,9.332543,10.23293,NA,"Zhao et al. 1999, Jono et al. 2015"
Gekkonidae,Gekko reevesii,Gekko reevesii,"18+,13+",124.24,128.95,34.67369,38.01894,NA,R?sler et al. 2011
Gekkonidae,Gekko scabridus,Gekko scabridus,"25+,22+",59.5,59,4.570882,4.466836,NA,"Zhao et al. 1999, Yang & Rao 2008"
Gekkonidae,Gekko subpalmatus,Gekko subpalmatus,"44,54",59.89,63.09,4.677351,5.370318,2,"Zhao et al. 1999, Zhao 2003, Yang & Rao 2008"
Gekkonidae,Gekko swinhonis,Gekko swinhonis,"111,113",55.36,58.27,3.715352,4.265795,2,"Fan et al. 1997, Zhao et al. 1999"
Gekkonidae,Gekko taibaiensis,Gekko taibaiensis,"8,12",60.5,61.5,4.786301,5.011872,NA,Zhao et al. 1999
Gekkonidae,Gekko wenxianensis,Gekko wenxianensis,"1,1",52.87,55,3.311311,3.630781,NA,"Zhao et al. 1999, Zhou & Wang 2008"
Gekkonidae,Hemidactylus bowringii,Hemidactylus bowringii,"175,177",49.96,48.35,2.818383,2.570396,2,"Zhao 2003, Xu & Ji 2007, Yang & Rao 2008, Shi et al. 2011, Qian et al. 2019"
Gekkonidae,Hemidactylus brookii,Hemidactylus brookii,"40,30",67,61,6.309573,4.897788,2,Scharf & Meiri 2013
Gekkonidae,Hemidactylus frenatus,Hemidactylus frenatus,"64,51",51.24,47.57,3.019952,2.454709,2,"Zhao et al. 1999, Yang & Rao 2008, Shi et al. 2011"
Gekkonidae,Hemidactylus garnotii,Hemidactylus garnotii,"9,6",124,108,34.67369,23.44229,2,Yang & Rao 2008
Gekkonidae,Hemiphyllodactylus changningensis,Hemiphyllodactylus changningensis,"29,36",39.23,41.11,1.44544,1.62181,NA,Guo 2015
Gekkonidae,Hemiphyllodactylus dushanensis,Hemiphyllodactylus dushanensis,"11,19",45.02,48.4,2.089296,2.570396,NA,Guo 2015
Gekkonidae,Hemiphyllodactylus hongkongensis,Hemiphyllodactylus hongkongensis,"2,6",33,39.9,0.891251,1.513561,NA,Sung et al. 2018
Gekkonidae,Hemiphyllodactylus huishuiensis,Hemiphyllodactylus huishuiensis,NA,45,47.58,2.089296,2.454709,NA,Yan et al. 2016
Gekkonidae,Hemiphyllodactylus jinpingensis,Hemiphyllodactylus jinpingensis,"75,87",38.03,40.4,1.318257,1.548817,NA,Guo 2015
Gekkonidae,Hemiphyllodactylus longlingensis,Hemiphyllodactylus longlingensis,"66,52",38.08,43.14,1.318257,1.862087,NA,Guo 2015
Gekkonidae,Hemiphyllodactylus typus,Hemiphyllodactylus typus,"1,1",46.5,34.5,2.290868,1,NA,"Zhao et al. 1999, Shen et al. 2014"
Gekkonidae,Hemiphyllodactylus yunnanensis,Hemiphyllodactylus yunnanensis,"91,88",40.7,42.96,1.584893,1.862087,NA,"Yang & Rao 2008, Shi & Lin et al. 2011, Guo 2015"
Gekkonidae,Lepidodactylus lugubris,Lepidodactylus lugubris,"3,3",39.7,38,1.479108,1.318257,2,Scharf & Meiri 2013
Gekkonidae,Lepidodactylus yami,Lepidodactylus yami,"2,2",36.5,34.25,1.174898,1,NA,Zhao et al. 1999
Gekkonidae,Mediodactylus russowii,Mediodactylus russowii,"2,2",44.15,46.8,1.995262,2.344229,NA,"Zhao et al. 1999, measured by Liang Tao"
Gekkonidae,Ptychozoon bannaense,Ptychozoon bannaense,"1,1",87.5,83.2,13.18257,11.48154,NA,Wang & Wang et al. 2016
Gekkonidae,Tenuidactylus dadunensis,Tenuidactylus dadunensis,"11,9",45.2,42.5,2.137962,1.778279,NA,Shi & Zhao 2011
Gekkonidae,Tenuidactylus elongatus,Tenuidactylus elongatus,"1,3",55,57,3.630781,4.073803,NA,Zhao et al. 1999
Lacertidae,Eremias argus,Eremias argus,"20+,24+",55.42,56.52,3.981072,4.265795,3.5,"Fan et al. 1997, Zhao et al. 2008, Yao & Gong 2012, Chen et al. 2015"
Lacertidae,Eremias arguta,Eremias arguta,"95,57",67.13,66.07,7.079458,6.76083,7,Liang et al. 2018; measured in XJAU
Lacertidae,Eremias brenchleyi,Eremias brenchleyi,"79,89",56.65,58.09,4.265795,4.570882,4,"Fan et al. 1997, Xu & Ji 2003"
Lacertidae,Eremias grammica,Eremias grammica,"4,3",60,58.5,5.011872,4.677351,3.5,measured in XJAU
Lacertidae,Eremias multiocellata,Eremias multiocellata,"72,61",57.34,55.84,4.466836,4.073803,3.4,measured in XJAU
Lacertidae,Eremias przewalskii,Eremias przewalskii,"32,41",71.5,73.2,8.51138,9.120108,NA,Li et al. 2019
Lacertidae,Eremias roborowskii,Eremias roborowskii,"28,45",62.98,59.79,5.888437,5.011872,NA,Wang Y. 2010. Measured by Liang Tao
Lacertidae,Eremias velox,Eremias velox,"139,138",59.67,57.63,5.011872,4.466836,4,Wang  2010; measured in XJAU
Lacertidae,Eremias vermiculata,Eremias vermiculata,"15,13",52.5,46.63,3.388442,2.398833,NA,"Zhao et al. 1999, Yao & Gong 2012; measured in XJAU"
Lacertidae,Lacerta agilis,Lacerta agilis,"105,106",153.39,141.07,81.28305,63.09573,11.5,measured by Lei Shi & Liang tao
Lacertidae,Takydromus albomaculosus,Takydromus albomaculosus,"1,1",65.5,70.9,6.606934,8.317638,NA,Wang & Gong et al. 2017
Lacertidae,Takydromus amurensis,Takydromus amurensis,"1,£¿",61.3,61.39,5.370318,5.370318,8,"Wang & Gong et al. 2017, Du 2013"
Lacertidae,Takydromus formosanus,Takydromus formosanus,NA,40.56,44.27,1.584893,2.041738,NA,"Lue & Lin 2008, Shi et al. 2011, "
Lacertidae,Takydromus hsuehshanensis,Takydromus hsuehshanensis,"78,105",60.5,61.2,5.128614,5.370318,3.2,Kahrl et al. 2016
Lacertidae,Takydromus intermedius,Takydromus intermedius,"4,17",47.38,50.82,2.511886,3.090295,NA,"Zhao et al. 1999, Zhao 2003"
Lacertidae,Takydromus kuehnei,Takydromus kuehnei,"3,2",52.93,51.3,3.467369,3.162278,NA,Wang & Gong et al. 2017
Lacertidae,Takydromus luyeanus,Takydromus luyeanus,NA,49.3,48.5,2.818383,2.691535,NA,Lue & Lin 2008
Lacertidae,Takydromus sauteri,Takydromus sauteri,"59,63",73.7,76.5,9.332543,10.47129,2,Scharf & Meiri 2013
Lacertidae,Takydromus septentrionalis,Takydromus septentrionalis,"170+,230+",60.24,65.47,5.128614,6.606934,5,"Zhang & Ji 2000,  Zhao 2003, Cai 2008, Shen et al. 2014, Wang & Gong et al. 2017, measured by Liang tao"
