iucn_2021_binomial,Species,China_Red_List,IUCN_Red_List,Body_size_mm,Clutch_size_n,Trophic_level,Habitat_specificity,Geographic_range_size_km2,Dispersal_ratio_dp,Nest_type,Nest_site,Flocking_tendency,Migrant_status,Hunting_vulnerability
Lymnocryptes_minimus,Lymnocryptes_minimus,0,0,180,2,6,2,226.19,19.76,1,5,2,2,0
Gallinago_solitaria,Gallinago_solitaria,0,0,198.75,2,1,5,893.67,31.1,1,5,0,2,0
Gallinago_nemoricola,Gallinago_nemoricola,1,1,300,2,5,5,87.6,16.08,1,5,0,2,2
Gallinago_stenura,Gallinago_stenura,0,0,151.15,2,5,3,961.58,17.31,1,5,0,2,0
Gallinago_megala,Gallinago_megala,0,0,175.15,2,5,2,913.58,16.77,1,5,1,2,0
Gallinago_gallinago,Gallinago_gallinago,0,0,171.5,2,5,9,961.58,15.08,1,5,0,2,0
Limnodromus_semipalmatus,Limnodromus_semipalmatus,1,1,335.15,3,5,3,278.72,31.31,1,5,1,2,2
Limosa_limosa,Limosa_limosa,0,1,355.75,2,5,2,821.36,19.81,1,5,1,2,0
Limosa_lapponica,Limosa_lapponica,1,0,356,2,5,2,515.17,32.21,1,5,1,2,0
Numenius_minutus,Numenius_minutus,1,0,305,3.5,1,2,570.13,31.56,1,5,1,2,0
Numenius_phaeopus,Numenius_phaeopus,0,0,217.15,2,5,6,887.38,31.11,1,5,0,2,0
Numenius_arquata,Numenius_arquata,1,1,601,2,5,6,922.97,31.26,1,5,1,2,0
Numenius_madagascariensis,Numenius_madagascariensis,1,1,600.15,2,5,10,619.72,31.7,1,5,1,2,2
Tringa_erythropus,Tringa_erythropus,0,0,193,2,5,5,961.58,30.35,1,5,2,2,0
Tringa_totanus,Tringa_totanus,0,0,170,2,5,3,860.71,30.81,1,5,1,2,0
Tringa_stagnatilis,Tringa_stagnatilis,0,0,115.75,2,5,5,785.72,31.23,1,5,1,2,0
Tringa_nebularia,Tringa_nebularia,0,0,318.75,2,5,1,961.58,31.1,1,5,1,2,0
Tringa_guttifer,Tringa_guttifer,3,3,305,2,5,3,108.57,33.35,1,5,1,2,0
Tringa_ochropus,Tringa_ochropus,0,0,132,3.5,5,1,961.58,31.12,1,5,0,2,0
Tringa_glareola,Tringa_glareola,0,0,110,2,5,7,961.58,31.06,1,5,1,2,0
Xenus_cinereus,Xenus_cinereus,0,0,135,2,5,1,961.58,19.68,1,5,1,2,0
Actitis_hypoleucos,Actitis_hypoleucos,0,0,189.15,2.5,5,5,961.58,19.52,1,5,2,2,0
Tringa_brevipes,Heteroscelus_brevipes,0,1,165,2,5,2,561.9,31.73,1,5,1,2,0
Arenaria_interpres,Arenaria_interpres,0,0,115.15,2,1,2,857.37,31.51,1,5,1,2,0
Calidris_tenuirostris,Calidris_tenuirostris,1,1,183.75,2,5,2,109.76,31.89,1,5,1,2,0
