Species,Adult_survival,Age_at_first_reproduction,Maximum_longevity
Arborophila_hyperythra,0.8,1.77,11.6
Arborophila_ardens,0.8,1.98,12.22
Arborophila_chloropus,0.79,1.88,11.64
Arborophila_tonkinensis,0.47,1.36,11.75
Arborophila_charltonii,0.8,1.77,11.7
Arborophila_graydoni,0.47,1.36,11.75
Rhizothera_longirostris,0.82,2.24,16.61
Rhizothera_dulitensis,0.47,1.36,13.22
Melanoperdix_niger,0.74,1.75,14.67
Haematortyx_sanguiniceps,0.58,1.3,9.82
Caloperdix_oculeus,0.54,1.14,9.79
Galloperdix_spadicea,0.79,1.94,15.47
Galloperdix_lunulata,0.77,1.82,14.47
Galloperdix_bicalcarata,0.82,2.09,15.34
Afropavo_congensis,0.86,2.75,17.76
Pavo_cristatus,0.83,3.83,24.47
Pavo_muticus,0.83,3.64,18.11
Argusianus_argus,0.86,3.13,22.9
Rheinardia_ocellata,0.82,2.08,15.7
Polyplectron_napoleonis,0.83,2.06,15.73
Polyplectron_malacense,0.87,2.44,17.81
Polyplectron_schleiermacheri,0.86,2.27,16.41
Polyplectron_germaini,0.85,2.22,16.88
Polyplectron_katsumatae,0.81,2.06,16
Polyplectron_bicalcaratum,0.84,2.15,17.16
Polyplectron_inopinatum,0.83,2.14,14.39
Polyplectron_chalcurum,0.84,2.18,16.13
Margaroperdix_madagarensis,0.47,0.58,7.31
Coturnix_coturnix,0.34,0.75,9.68
Coturnix_japonica,0.38,0.81,10.36
Coturnix_coromandelica,0.6,1.09,11.27
Coturnix_delegorguei,0.56,1.02,10.15
Coturnix_pectoralis,0.51,0.96,10.73
Coturnix_novaezelandiae,0.48,0.79,10.7
Synoicus_ypsilophorus,0.44,0.95,9.9
Synoicus_chinensis,0.51,0.99,9.12
Synoicus_adansonii,0.47,1.36,13.22
Anurophasis_monorthonyx,0.77,1.95,16.38
Tetraogallus_caucasicus,0.71,1.12,21.13
Tetraogallus_caspius,0.73,1.14,21.44
Tetraogallus_himalayensis,0.67,1.05,20.26
Tetraogallus_tibetanus,0.77,1.25,21.8
