Species,Adult_survival,Age_at_first_reproduction,Maximum_longevity
Rhagologus_leucostigma,0.65,1.27,9.83
Peltops_blainvillii,0.65,1.15,8.53
Peltops_montanus,0.69,1.21,8.62
Strepera_fuliginosa,0.78,2.04,21.06
Strepera_graculina,0.81,2.02,19.62
Strepera_versicolor,0.8,2.14,21.04
Melloria_quoyi,0.75,1.67,9.38
Gymnorhina_tibicen,0.77,1.61,17.34
Cracticus_cassicus,0.77,1.78,15.83
Cracticus_louisiadensis,0.76,1.6,16.34
Cracticus_nigrogularis,0.75,1.65,17.8
Cracticus_torquatus,0.73,1.51,16.54
Cracticus_argenteus,0.59,1.14,21.16
Cracticus_mentalis,0.72,1.52,14.04
Artamus_personatus,0.66,1.77,7.32
Artamus_superciliosus,0.67,1.78,7.36
Artamus_cyanopterus,0.62,1.64,7.04
Artamus_cinereus,0.65,1.72,7.14
Artamus_minor,0.62,1.52,6.26
Artamus_maximus,0.73,2.05,7.09
Artamus_leucoryn,0.63,1.7,6.95
Artamus_mentalis,0.7,1.84,7.36
Artamus_insignis,0.72,2,6.93
Artamus_monachus,0.67,1.86,6.66
Artamus_fuscus,0.67,1.82,7.35
Machaerirhynchus_flaviventer,0.64,1.11,8.99
Machaerirhynchus_nigripectus,0.65,1.14,9.21
Newtonia_archboldi,0.58,0.92,6.94
Newtonia_brunneicauda,0.6,0.97,7.2
Newtonia_fanovanae,0.62,1.01,7.52
Newtonia_amphichroa,0.61,1,7.47
Tylas_eduardi,0.73,1.49,10.3
Calicalicus_madagascariensis,0.67,1.21,8.38
Calicalicus_rufocarpalis,0.63,1.07,8.03
Hypositta_corallirostris,0.62,1.03,7.66
Leptopterus_chabert,0.64,1.16,8.27
Cyanolanius_comorensis,0.59,1.14,9.97
Cyanolanius_madagascarinus,0.59,1.14,9.97
Mystacornis_crossleyi,0.65,1.21,8.61
Pseudobias_wardi,0.62,1.01,7.52
Vanga_curvirostris,0.73,1.5,11.68
Schetba_rufa,0.68,1.24,9.21
Euryceros_prevostii,0.74,1.5,10.96
Xenopirostris_polleni,0.74,1.57,10.9
Xenopirostris_xenopirostris,0.74,1.56,11
Xenopirostris_damii,0.72,1.38,10.16
Oriolia_bernieri,0.71,1.33,9.73
Falculea_palliata,0.7,1.51,10.97
Artamella_viridis,0.69,1.39,9.85
Prionops_plumatus,0.76,1.2,8.14
Prionops_poliolophus,0.86,1.62,10.26
Prionops_alberti,0.83,1.37,9.7
Prionops_caniceps,0.81,1.31,9.38
Prionops_rufiventris,0.84,1.14,9.97
Prionops_retzii,0.8,1.34,9.46
Prionops_gabela,0.81,1.3,9.4
Prionops_scopifrons,0.79,1.26,8.7
Hemipus_picatus,0.61,1.03,6.05
Hemipus_hirundinaceus,0.64,1.1,5.99
Tephrodornis_sylvicola,0.59,1.14,6.25
Tephrodornis_virgatus,0.59,1.14,6.25
Tephrodornis_pondicerianus,0.64,1.17,7.42
Tephrodornis_affinis,0.59,1.14,6.25
Megabyas_flammulatus,0.66,1.18,8.33
Bias_musicus,0.68,1.75,8.35
Philentoma_pyrhoptera,0.71,1.22,5.75
Philentoma_velata,0.73,1.33,6.26
Lanioturdus_torquatus,0.7,1.35,9.36
Batis_diops,0.64,1.8,7.2
Batis_margaritae,0.62,1.78,7.28
Batis_mixta,0.65,1.75,7.53
Batis_reichenowi,0.62,2,10.8
Batis_crypta,0.63,1.79,7.28
Batis_dimorpha,0.62,2,10.8
Batis_capensis,0.62,2,10.8
Batis_fratrum,0.63,1.68,7.76
Batis_molitor,0.64,1.73,7.71
Batis_senegalensis,0.63,1.67,7.38
Batis_orientalis,0.62,1.65,7.35
Batis_soror,0.63,1.67,7.42
Batis_pririt,0.6,1.66,7.71
Batis_minor,0.65,1.76,7.53
Batis_erlangeri,0.62,2,10.8
Batis_perkeo,0.6,1.61,6.43
Batis_minulla,0.63,1.68,7.22
Batis_minima,0.63,1.72,6.88
Batis_ituriensis,0.63,1.74,6.96
Batis_occulta,0.62,1.69,6.78
Batis_poensis,0.62,1.71,6.85
Dyaphorophyia_hormophora,0.59,2.5,9.97
Dyaphorophyia_castanea,0.59,2.5,9.97
Dyaphorophyia_tonsa,0.64,2.05,7.05
Dyaphorophyia_blissetti,0.64,1.12,7.43
Dyaphorophyia_chalybea,0.64,1.12,7.32
Dyaphorophyia_jamesoni,0.63,2.04,6.99
Dyaphorophyia_concreta,0.59,2.5,9.97
Dyaphorophyia_ansorgei,0.59,2.5,9.97
Platysteira_cyanea,0.69,1.4,7.79
Platysteira_albifrons,0.67,1.34,7.29
Platysteira_laticincta,0.69,1.38,7.73
Platysteira_peltata,0.66,1.38,7.87
Aegithina_tiphia,0.6,1.05,7.65
Aegithina_nigrolutea,0.62,1.09,8.09
Aegithina_viridissima,0.65,1.16,7.8
Aegithina_lafresnayei,0.6,1.05,7.64
Pityriasis_gymnocephala,0.77,1.58,11.12
Malaconotus_cruentus,0.74,1.55,11.39
Malaconotus_blanchoti,0.66,1.55,10.67
Malaconotus_monteiri,0.72,1.6,11.57
Malaconotus_lagdeni,0.73,1.79,12.02
Malaconotus_gladiator,0.75,1.5,10.71
Malaconotus_alius,0.74,1.45,10.37
Dryoscopus_sabini,0.7,1.24,9.19
Dryoscopus_angolensis,0.7,1.24,9.12
Dryoscopus_senegalensis,0.7,1.36,8.87
Dryoscopus_cubla,0.7,1.3,9.94
Dryoscopus_gambensis,0.71,1.38,9.21
Dryoscopus_pringlii,0.68,1.26,8.16
Bocagia_minuta,0.7,1.32,9.69
Tchagra_australis,0.57,1.33,7.18
Tchagra_jamesi,0.56,1.29,6.79
Tchagra_tchagra,0.62,1.51,8.71
Tchagra_senegalus,0.6,1.47,7.63
Nilaus_afer,0.68,1.25,8.08
Chlorophoneus_kupeensis,0.7,1.24,8.9
Chlorophoneus_multicolor,0.72,1.32,9.4
Chlorophoneus_nigrifrons,0.69,1.23,8.9
Chlorophoneus_olivaceus,0.68,1.39,9.99
Chlorophoneus_bocagei,0.7,1.34,8.62
Chlorophoneus_sulfureopectus,0.7,1.34,8.75
Laniarius_leucorhynchus,0.73,1.51,8.86
Laniarius_poensis,0.73,1.48,8.84
Laniarius_holomelas,0.59,1.14,9
Laniarius_fuelleborni,0.73,1.49,8.98
Laniarius_funebris,0.72,1.45,8.5
Laniarius_luehderi,0.72,1.46,8.58
Laniarius_brauni,0.72,1.34,9.07
Laniarius_amboimensis,0.7,1.29,8.86
Laniarius_ruficeps,0.69,1.33,8.05
Laniarius_aethiopicus,0.7,1.37,9.21
Laniarius_nigerrimus,0.59,1.14,9
Laniarius_sublacteus,0.59,1.14,9
Laniarius_ferrugineus,0.73,1.49,9.66
Laniarius_bicolor,0.74,1.53,9.47
Laniarius_turatii,0.73,1.48,9.01
Laniarius_barbarus,0.73,1.49,9.13
Laniarius_erythrogaster,0.73,1.5,9.06
Laniarius_atrococcineus,0.71,1.44,9.29
Laniarius_mufumbiri,0.67,1.22,8.44
Laniarius_atroflavus,0.67,1.23,8.63
Rhodophoneus_cruentus,0.72,1.47,9.78
Telophorus_zeylonus,0.71,1.47,10.79
Telophorus_dohertyi,0.67,1.3,8.65
Telophorus_viridis,0.71,1.42,9.7
Chaetorhynchus_papuensis,0.7,1.24,8.89
Lamprolia_klinesmithi,0.59,1.14,9.97
Lamprolia_victoriae,0.59,1.14,9.97
Rhipidura_atra,0.69,1.23,8.61
Rhipidura_nigrocinnamomea,0.63,1.02,8.85
Rhipidura_cyaniceps,0.65,1.17,8.68
Rhipidura_sauli,0.59,0.55,9.28
Rhipidura_albiventris,0.59,0.55,9.28
Rhipidura_samarensis,0.59,0.55,9.28
Rhipidura_superciliaris,0.59,0.55,9.28
Rhipidura_euryura,0.64,1.04,9.08
Rhipidura_perlata,0.65,1.16,8.18
Rhipidura_fuscorufa,0.64,1.04,9.09
Rhipidura_tenkatei,0.59,0.55,9.28
Rhipidura_rufiventris,0.59,0.55,9.28
Rhipidura_hoedti,0.59,0.55,9.28
Rhipidura_bouruensis,0.59,0.55,9.28
Rhipidura_obiensis,0.59,0.55,9.28
Rhipidura_cinerea,0.59,0.55,9.28
Rhipidura_assimilis,0.59,0.55,9.28
Rhipidura_kordensis,0.59,0.55,9.28
Rhipidura_isura,0.59,0.55,9.28
Rhipidura_cockerelli,0.65,1.08,9.36
Rhipidura_coultasi,0.59,0.55,9.28
Rhipidura_diluta,0.64,1.04,9.11
Rhipidura_threnothorax,0.66,1.08,9.31
Rhipidura_maculipectus,0.61,1.04,9.36
Rhipidura_leucothorax,0.67,1.23,8.76
Rhipidura_leucophrys,0.66,1.24,9.72
Rhipidura_javanica,0.71,1.26,9.04
Rhipidura_nigritorquis,0.59,0.55,9.28
Rhipidura_aureola,0.6,1.04,8.1
Rhipidura_albogularis,0.59,0.55,9.28
Rhipidura_albicollis,0.59,0.55,4.5
Rhipidura_phoenicura,0.64,1.04,9.08
Rhipidura_brachyrhyncha,0.62,0.97,8.39
Rhipidura_rufidorsa,0.63,1.09,7.82
Rhipidura_dahli,0.62,0.96,8.35
Rhipidura_matthiae,0.65,1.04,8.95
Rhipidura_malaitae,0.63,1,8.75
Rhipidura_lepida,0.64,1.04,9.08
Rhipidura_teysmanni,0.63,0.98,8.4
Rhipidura_superflua,0.65,1.04,8.99
Rhipidura_dedemi,0.63,0.98,8.47
Rhipidura_opistherythra,0.64,1.04,9.08
Rhipidura_rufifrons,0.58,1.06,8.32
Rhipidura_kubaryi,0.64,1.04,9.07
Rhipidura_melanolaema,0.59,0.55,9.28
Rhipidura_semirubra,0.65,1.04,8.96
Rhipidura_dryas,0.59,0.55,9.28
Rhipidura_albolimbata,0.63,0.98,8.51
Rhipidura_hyperythra,0.64,1.12,8.03
Rhipidura_drownei,0.63,0.99,8.55
Rhipidura_ocularis,0.59,0.55,9.28
Rhipidura_verreauxi,0.65,1.16,8.78
Rhipidura_spilodera,0.59,0.55,9.28
Rhipidura_layardi,0.59,0.55,9.28
Rhipidura_rufilateralis,0.59,0.55,9.28
Rhipidura_tenebrosa,0.65,1.07,9.41
Rhipidura_rennelliana,0.64,1.04,9.18
Rhipidura_nebulosa,0.69,1.25,11.03
Rhipidura_personata,0.64,1.18,11.03
Rhipidura_phasiana,0.61,1.02,7.62
Rhipidura_albiscapa,0.59,0.55,9.68
Rhipidura_fuliginosa,0.59,0.55,9.7
Dicrurus_ludwigii,0.68,1.31,6.56
Dicrurus_atripennis,0.72,1.44,7.14
Dicrurus_adsimilis,0.7,1.39,7.06
Dicrurus_modestus,0.59,1.14,6.98
Dicrurus_fuscipennis,0.71,1.32,6.65
Dicrurus_aldabranus,0.71,1.44,7.46
Dicrurus_forficatus,0.69,1.38,7.5
Dicrurus_waldenii,0.71,1.32,6.66
Dicrurus_macrocercus,0.65,1.31,8.21
Dicrurus_leucophaeus,0.63,1.27,7.17
Dicrurus_caerulescens,0.7,1.39,7.49
Dicrurus_annectens,0.64,1.31,7.29
Dicrurus_aeneus,0.65,1.23,6.59
Dicrurus_remifer,0.69,1.36,7.36
Dicrurus_balicassius,0.73,1.41,7.16
Dicrurus_hottentottus,0.68,1.44,8.91
Dicrurus_striatus,0.59,1.14,6.98
Dicrurus_sumatranus,0.72,1.32,6.46
Dicrurus_densus,0.71,1.32,6.6
Dicrurus_menagei,0.59,1.14,7.92
Dicrurus_montanus,0.73,1.37,6.71
Dicrurus_bracteatus,0.68,1.49,8.14
Dicrurus_megarhynchus,0.77,1.58,7.79
Dicrurus_andamanensis,0.71,1.45,7.6
Dicrurus_paradiseus,0.71,1.49,8.07
Dicrurus_lophorinus,0.59,1.14,6.98
Ifrita_kowaldi,0.74,1.49,9.6
Myiagra_freycineti,0.59,1.14,7.17
Myiagra_oceanica,0.65,1.08,7.95
Myiagra_erythrops,0.65,1.08,7.95
Myiagra_pluto,0.65,1.08,7.94
Myiagra_galeata,0.63,0.98,7.14
Myiagra_atra,0.66,1.08,7.82
Myiagra_rubecula,0.6,1.1,7.8
Myiagra_ferrocyanea,0.63,1.01,7.47
Myiagra_cervinicauda,0.62,0.99,7.37
Myiagra_caledonica,0.61,0.98,7.45
Myiagra_vanikorensis,0.67,1.19,8.1
Myiagra_albiventris,0.68,1.2,8.95
Myiagra_castaneigularis,0.59,1.14,7.17
Myiagra_azureocapilla,0.59,1.14,7.17
Myiagra_ruficollis,0.61,1.06,7.25
Myiagra_cyanoleuca,0.6,1.14,8.39
Myiagra_alecto,0.67,1.25,8.54
Myiagra_hebetior,0.68,1.26,8.17
Myiagra_eichhorni,0.59,1.14,7.17
Myiagra_cervinicolor,0.59,1.14,7.17
Myiagra_nana,0.59,1.14,7.31
Myiagra_inquieta,0.59,1.14,4.93
Arses_insularis,0.66,1.1,5.82
Arses_telescopthalmus,0.59,1.14,4.2
Arses_lorealis,0.59,1.14,3.03
Arses_kaupi,0.65,1.17,6.03
Grallina_cyanoleuca,0.7,1.14,11.56
Grallina_bruijnii,0.75,1.14,10.27
Symposiachrus_axillaris,0.7,1.3,9.74
Symposiachrus_rubiensis,0.76,1.58,11.83
Symposiachrus_guttula,0.67,1.21,9.32
Symposiachrus_mundus,0.68,1.16,10.16
Symposiachrus_sacerdotum,0.7,1.24,10.87
Symposiachrus_boanensis,0.66,1.08,9.3
Symposiachrus_trivirgatus,0.6,1.11,9.06
Symposiachrus_everetti,0.69,1.22,10.6
Symposiachrus_loricatus,0.68,1.16,10.06
Symposiachrus_leucurus,0.68,1.16,10.11
Symposiachrus_julianae,0.69,1.16,10
Symposiachrus_brehmii,0.71,1.27,10.87
Symposiachrus_manadensis,0.69,1.29,9.87
Symposiachrus_infelix,0.68,1.16,10.02
Symposiachrus_menckei,0.69,1.16,10
Symposiachrus_verticalis,0.59,1.14,11.01
Symposiachrus_ateralbus,0.59,1.14,11.01
Symposiachrus_barbatus,0.59,1.14,11.01
Symposiachrus_malaitae,0.59,1.14,11.01
Symposiachrus_browni,0.68,1.16,10.18
Symposiachrus_vidua,0.65,1.07,9.44
Carterornis_chrysomela,0.65,1.05,6.26
Carterornis_leucotis,0.62,1.08,6.44
Carterornis_pileatus,0.65,1.03,6.05
Carterornis_castus,0.68,1.16,6.95
Chasiempis_sclateri,0.83,1,17.8
Chasiempis_ibidis,0.83,1,17.8
Chasiempis_sandwichensis,0.75,1,11.32
Pomarea_pomarea,0.59,1.14,18.1
Pomarea_nigra,0.66,1.16,12.18
Pomarea_dimidiata,0.65,1.13,12.03
Pomarea_fluxa,0.59,1.14,18.1
Pomarea_iphis,0.67,1.14,11.78
Pomarea_whitneyi,0.7,1.28,13.18
Pomarea_nukuhivae,0.59,1.14,18.1
Pomarea_mira,0.59,1.14,18.1
Pomarea_mendozae,0.68,1.19,12.29
Neolalage_banksiana,0.64,1.07,7.86
Mayrornis_schistaceus,0.66,1.1,8.05
Mayrornis_versicolor,0.67,1.19,8.79
Mayrornis_lessoni,0.66,1.17,7.97
Clytorhynchus_pachycephaloides,0.66,1.16,8.63
Clytorhynchus_vitiensis,0.7,1.36,9.35
Clytorhynchus_sanctaecrucis,0.72,1.34,9.74
Clytorhynchus_nigrogularis,0.67,1.29,9.9
Clytorhynchus_hamlini,0.69,1.23,8.92
Monarcha_cinerascens,0.72,1.41,7.14
Monarcha_castaneiventris,0.66,1.23,6.58
Monarcha_megarhynchus,0.59,1.14,5
Monarcha_ugiensis,0.59,1.14,5
Monarcha_richardsii,0.68,1.16,6.53
Monarcha_frater,0.64,1.23,6.46
Monarcha_melanopsis,0.64,1.24,7.07
Metabolus_takatsukasae,0.69,1.24,9.06
Metabolus_godeffroyi,0.67,1.16,8.42
Metabolus_rugensis,0.72,1.33,9.53
Trochocercus_bivittatus,0.59,1.14,9.97
Trochocercus_cyanomelas,0.59,1.14,9.97
Trochocercus_nitens,0.65,1.14,7.37
Hypothymis_azurea,0.57,1.04,5.65
Hypothymis_puella,0.59,1.14,3.92
Hypothymis_helenae,0.61,0.96,5.3
Hypothymis_coelestis,0.59,0.98,5.61
Eutrichomyias_rowleyi,0.66,1.09,7.8
Terpsiphone_unirufa,0.79,1,9.97
Terpsiphone_cinnamomea,0.79,1,9.97
Terpsiphone_cyanescens,0.76,1.12,8.33
Terpsiphone_atrocaudata,0.61,0.92,8.23
Terpsiphone_corvina,0.75,1.15,8.54
Terpsiphone_bourbonnensis,0.71,0.96,7.32
Terpsiphone_paradisi,0.63,0.96,8.24
Terpsiphone_incei,0.79,1,9.97
Terpsiphone_affinis,0.79,1,9.97
Terpsiphone_floris,0.79,1,9.97
Terpsiphone_mutata,0.65,0.93,7.66
Terpsiphone_atrochalybeia,0.71,1.02,7.59
Terpsiphone_viridis,0.63,0.93,7.18
Terpsiphone_rufocinerea,0.72,1.07,8.02
Terpsiphone_batesi,0.79,1,9.97
Terpsiphone_rufiventer,0.68,0.99,7.55
Terpsiphone_bedfordi,0.7,1.03,7.74
Platylophus_galericulatus,0.77,1.71,6.94
Corvinella_corvina,0.67,1.36,9.57
Urolestes_melanoleucus,0.68,1.42,10.32
Eurocephalus_ruppelli,0.69,1.4,7.59
Eurocephalus_anguitimens,0.69,1.43,8.41
Lanius_tigrinus,0.49,0.93,7.02
Lanius_souzae,0.58,1.02,6.7
Lanius_bucephalus,0.49,0.93,7.97
Lanius_cristatus,0.49,0.95,7.62
Lanius_collurio,0.46,0.89,7.18
Lanius_phoenicuroides,0.47,0.99,7.52
Lanius_isabellinus,0.47,1,7.78
Lanius_collurioides,0.5,0.94,6.61
Lanius_gubernator,0.58,0.92,6.26
Lanius_vittatus,0.51,0.94,6.59
Lanius_schach,0.59,1.17,8
Lanius_tephronotus,0.52,1.02,7.47
Lanius_validirostris,0.6,1.01,6.96
Lanius_mackinnoni,0.64,1.16,7.15
Lanius_minor,0.49,0.98,7.72
Lanius_ludovicianus,0.55,1.08,8.03
Lanius_sphenocercus,0.47,1,8.05
Lanius_giganteus,0.47,0.99,7.52
Lanius_borealis,0.47,0.99,7.52
Lanius_excubitor,0.47,0.96,8.17
Lanius_meridionalis,0.47,0.99,7.52
Lanius_excubitoroides,0.64,1.22,7.84
Lanius_cabanisi,0.65,1.23,8.7
Lanius_dorsalis,0.62,1.16,7.33
Lanius_somalicus,0.61,1.14,7.34
Lanius_collaris,0.6,1.09,7.18
Lanius_newtoni,0.59,0.91,6.09
Lanius_senator,0.48,0.93,7.12
Lanius_nubicus,0.46,0.86,6.46
Platysmurus_leucopterus,0.79,1.83,7.9
Platysmurus_aterrimus,0.59,1.14,3.75
Temnurus_temnurus,0.76,1.62,11.93
Crypsirina_temia,0.76,1.72,13.24
Crypsirina_cucullata,0.76,1.75,12.45
Dendrocitta_vagabunda,0.68,1.4,11.54
Dendrocitta_formosae,0.72,1.52,12.42
Dendrocitta_occipitalis,0.67,1.33,11.58
Dendrocitta_cinerascens,0.59,1.14,9.97
Dendrocitta_leucogastra,0.72,1.51,11.74
Dendrocitta_frontalis,0.72,1.51,12.42
Dendrocitta_bayleii,0.74,1.58,12.11
Pyrrhocorax_pyrrhocorax,0.78,3.38,21.02
Pyrrhocorax_graculus,0.69,2.81,17.54
Urocissa_ornata,0.74,1.66,12.77
Urocissa_caerulea,0.7,1.56,13.25
Urocissa_flavirostris,0.72,1.63,13.49
Urocissa_erythroryncha,0.7,1.58,13.08
Urocissa_xanthomelana,0.59,1.14,9.97
Urocissa_whiteheadi,0.59,1.14,9.97
Cissa_chinensis,0.68,1.41,11.65
Cissa_hypoleuca,0.76,1.68,13.33
Cissa_thalassina,0.79,1.91,12.55
Cissa_jefferyi,0.59,1.14,9.97
Perisoreus_canadensis,0.66,1.1,15.61
Perisoreus_infaustus,0.67,1.13,16.35
Perisoreus_internigrans,0.7,1.14,15.87
Cyanopica_cooki,0.59,1,9.97
Cyanopica_cyanus,0.59,1,9.97
Garrulus_glandarius,0.71,1.83,15.02
Garrulus_bispecularis,0.73,2,17
Garrulus_leucotis,0.73,2,17
Garrulus_lanceolatus,0.73,1.86,13.75
Garrulus_lidthi,0.73,1.89,13.94
Zavattariornis_stresemanni,0.62,1.29,9.27
Ptilostomus_afer,0.68,1.41,11.28
Podoces_hendersoni,0.71,1.52,13.21
Podoces_biddulphi,0.78,1.73,14.35
Podoces_panderi,0.67,1.4,11.16
Podoces_pleskei,0.65,1.33,10.42
Pica_pica,0.68,1.58,14.95
Pica_mauritanica,0.69,1.5,17.21
Pica_asirensis,0.69,1.5,17.21
Pica_hudsonia,0.69,1.49,20
Pica_nutalli,0.67,1.28,12.98
Nucifraga_columbiana,0.75,1.47,14.98
Nucifraga_caryocatactes,0.72,1.43,17.63
Nucifraga_hemispila,0.59,1.5,16.84
Nucifraga_multipunctata,0.59,1.5,16.84
Corvus_dauuricus,0.69,1.67,12.44
Corvus_monedula,0.79,2,16.77
Corvus_nasicus,0.79,2.01,15.07
Corvus_jamaicensis,0.79,2.1,15.19
Corvus_leucognaphalus,0.82,2.18,16.01
Corvus_capensis,0.79,2.06,15.22
Corvus_ossifragus,0.78,1.98,15.87
Corvus_sinaloae,0.8,1.92,14.89
Corvus_imparatus,0.72,1.92,13.34
Corvus_palmarum,0.79,1.96,14.42
Corvus_hawaiiensis,0.74,2.04,25
Corvus_frugilegus,0.76,1.98,16.77
Corvus_crassirostris,0.84,2.47,17.62
Corvus_albicollis,0.81,2.62,17.5
Corvus_corax,0.76,2.35,18.79
Corvus_cryptoleucus,0.72,1.82,14.79
Corvus_ruficollis,0.79,2.07,15.94
Corvus_edithae,0.79,2.22,15.42
Corvus_albus,0.77,2.27,14.46
Corvus_rhipidurus,0.81,2.18,15.91
Corvus_brachyrhynchos,0.76,1.98,16.49
Corvus_caurinus,0.82,2.11,18.28
Corvus_corone,0.78,2.44,19.23
Corvus_pectoralis,0.8,2.07,16.04
Corvus_florensis,0.83,2.02,14.89
Corvus_typicus,0.83,2.08,13.65
Corvus_unicolor,0.83,2.02,14.61
Corvus_enca,0.81,2.06,13.8
Corvus_violaceus,0.74,2.12,18.13
Corvus_validus,0.81,2.26,15.95
Corvus_moneduloides,0.82,2.1,15.2
Corvus_meeki,0.83,2.02,14.8
Corvus_woodfordi,0.82,2,14.68
Corvus_fuscicapillus,0.81,2.26,16.06
Corvus_tristis,0.83,2.64,18.22
Corvus_insularis,0.74,2.12,18.13
Corvus_orru,0.74,2.12,18.13
Corvus_bennetti,0.76,1.85,14.46
Corvus_mellori,0.78,2.13,16.71
Corvus_tasmanicus,0.8,2.14,17.2
Corvus_coronoides,0.86,2.51,19.16
Corvus_splendens,0.72,1.95,13.68
Corvus_macrorhynchos,0.83,2.23,17.48
Corvus_kubaryi,0.79,1.77,13.24
Cyanolyca_mirabilis,0.7,1.33,9.77
Cyanolyca_nanus,0.7,1.4,9.74
Cyanolyca_pumilo,0.7,1.3,9.53
Cyanolyca_argentigula,0.78,1.67,13.3
Cyanolyca_pulchra,0.76,1.52,10.73
Cyanolyca_cucullata,0.77,1.7,12.93
Cyanolyca_quindiuna,0.59,1.14,9.97
Cyanolyca_armillata,0.59,1.14,9.97
Cyanolyca_turcosa,0.76,1.52,10.71
Cyanolyca_viridicyanus,0.75,1.56,11.3
Gymnorhinus_cyanocephalus,0.73,1.85,13.71
Aphelocoma_unicolor,0.75,2.32,14.25
Aphelocoma_wollweberi,0.37,2.33,19
Aphelocoma_ultramarina,0.73,2.15,15.12
Aphelocoma_coerulescens,0.71,1.99,14.49
Aphelocoma_californica,0.72,2.1,15.65
Cyanocitta_cristata,0.65,1.34,14.49
Cyanocitta_stelleri,0.72,1.5,15.93
Cyanocorax_violaceus,0.86,2.1,16.12
Cyanocorax_cyanomelas,0.88,2.26,17.85
Cyanocorax_cristatellus,0.89,2.28,17.51
Cyanocorax_coeruleus,0.91,2.67,20.99
Cyanocorax_morio,0.88,2.25,17.68
Cyanocorax_colliei,0.86,2.06,17.16
Cyanocorax_formosus,0.88,2.26,17.63
Cyanocorax_yncas,0.84,1.79,13.93
Cyanocorax_mystacalis,0.88,2.03,16.78
Cyanocorax_dickeyi,0.87,2.11,17.18
Cyanocorax_affinis,0.85,2.24,17.69
Cyanocorax_heilprini,0.9,2.14,16.91
Cyanocorax_hafferi,0.94,2,23.79
Cyanocorax_cyanopogon,0.89,2.09,16.9
Cyanocorax_chrysops,0.85,2.04,14.94
Cyanocorax_cayanus,0.9,2.16,17.11
Cyanocorax_melanocyaneus,0.86,2,13.94
Cyanocorax_yucatanicus,0.83,1.8,14.76
Cyanocorax_sanblasianus,0.86,1.99,15.72
Cyanocorax_beecheii,0.86,2.06,17.06
Melampitta_lugubris,0.76,1.58,10.15
Megalampitta_gigantea,0.79,1.73,12.29
Corcorax_melanorhamphos,0.79,1.95,15.54
Struthidea_cinerea,0.68,1.42,10.83
Lycocorax_pyrrhopterus,0.81,2.31,16.61
Lycocorax_obiensis,0.59,1.14,9.97
Phonygammus_keraudrenii,0.77,1.97,20.49
Manucodia_ater,0.77,2.05,15.41
Manucodia_jobiensis,0.77,2,14.94
Manucodia_chalybatus,0.77,2.03,15.28
Manucodia_comrii,0.82,2.42,18.13
Pteridophora_alberti,0.75,1.81,13.26
Parotia_carolae,0.75,1.79,13.83
Parotia_sefilata,0.78,1.64,12.78
Parotia_wahnesi,0.8,1.86,13.56
Parotia_lawesii,0.79,2.07,15.21
Parotia_berlepschi,0.59,1.14,9.97
Seleucidis_melanoleucus,0.83,2.05,14.51
Drepanornis_albertisi,0.79,1.83,11.91
Drepanornis_bruijnii,0.78,1.63,11.55
Semioptera_wallacii,0.75,1.76,13.43
Lophorina_paradisea,0.74,1.81,13.19
Lophorina_victoriae,0.78,1.78,10.75
Lophorina_superba,0.72,1.65,11.08
Lophorina_magnifica,0.75,1.89,12.59
Lophorina_intercedens,0.74,1.82,12.27
Epimachus_fastosus,0.79,1.72,13.53
Epimachus_meyeri,0.84,2.14,15.22
Paradigalla_carunculata,0.76,1.81,13.8
Paradigalla_brevicauda,0.83,2.03,14.41
Astrapia_nigra,0.79,1.66,12.89
Astrapia_splendidissima,0.74,1.72,13.24
Astrapia_rothschildi,0.79,2.12,15.54
Astrapia_stephaniae,0.78,2.02,14.87
Astrapia_mayeri,0.78,2.01,14.74
Cicinnurus_regius,0.69,1.53,11.5
Cicinnurus_magnificus,0.77,1.66,12.13
Cicinnurus_respublica,0.73,1.32,10.3
Paradisornis_rudolphi,0.79,2.08,15.25
Paradisaea_guilielmi,0.79,2.18,14.88
Paradisaea_rubra,0.78,2.03,13.57
Paradisaea_decora,0.77,1.93,14.45
Paradisaea_minor,0.8,2.18,14.52
Paradisaea_apoda,0.79,2.1,14.15
Paradisaea_raggiana,0.78,2.1,14.44
Callaeas_wilsoni,0.59,1.14,25
Callaeas_cinereus,0.59,1.14,25
Philesturnus_rufusater,0.59,1.14,21
Philesturnus_carunculatus,0.59,1.14,21
Heteralocha_acutirostris,0.59,1.14,9.97
Notiomystis_cincta,0.65,1.47,13.22
Melanocharis_arfakiana,0.62,1.17,9.12
Melanocharis_nigra,0.63,1.23,9.21
Melanocharis_longicauda,0.6,1.08,8.44
Melanocharis_versteri,0.61,1.13,8.77
Melanocharis_striativentris,0.62,1.17,9.1
Rhamphocharis_crassirostris,0.59,1.14,9.97
Rhamphocharis_piperata,0.59,1.14,9.97
Oedistoma_iliolophus,0.69,1.19,8.52
Oedistoma_pygmaeum,0.58,0.85,6.74
Toxorhamphus_novaeguineae,0.63,1,7.14
Toxorhamphus_poliopterus,0.69,1.19,8.59
Cnemophilus_loriae,0.76,1.82,13.35
Cnemophilus_sanguineus,0.59,1.14,9.97
Cnemophilus_macgregorii,0.59,1.14,9.97
Loboparadisea_sericea,0.74,1.74,12.81
Picathartes_gymnocephalus,0.8,1.97,12.97
Picathartes_oreas,0.8,2.02,13.01
Eupetes_macrocerus,0.77,1.73,11.17
Chaetops_frenatus,0.74,1.54,11.23
