"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7"
"Takydromus_sylvaticus",-0.414728188028702,0.0660113502166009,1.71312037685521,0.0131404550993359,-0.202191116219922,0.91506401903364,-0.0191713851403026
"Takydromus_viridipunctatus",-0.385881859483684,0.190157953786372,-0.784652453616204,-0.411283672615481,-1.06064867893933,-0.521623546915502,-0.814624810482319
"Takydromus_wolteri",0.120823319938889,0.526878370752614,1.8490533519558,0.255917945507498,0.128458820318242,0.324668692647101,0.407343662912287
"Takydromus_yunkaiensis",0.167887426863348,0.0501100934921327,-0.219543197555716,-0.702798764018809,-0.330881845634725,-0.341790227705594,-0.83550872627388
"Zootoca_vivipara",2.76624479062974,-1.97298574553806,0.523215260519206,-1.59562090495552,0.63464061144542,0.775551517196862,0.951777278082245
"Ablepharus_alaicus",0.743221530945696,-2.31083023063762,-0.353329849535385,-0.668143429792102,1.35482803414187,1.15795341536409,1.94973268249016
"Ablepharus_deserti",0.305417064563788,0.101239635405438,-0.138350750444356,-0.699602636475124,-0.20368527889806,-0.407243627653967,-0.776337010141028
"Ateuchosaurus_chinensis",0.952996910435293,1.34232550512641,-0.44482001586473,0.195660053404925,-0.234023837593922,-1.99761186288185,0.251662809649154
"Emoia_atrocostata",-0.456013604574677,0.129806320144752,-0.802453200355567,-0.443075963026074,-1.10394807539076,-0.444309873222027,-0.870477971536825
"Eutropis_cumingi",0.357653843853955,0.148968277915876,-0.127003802068096,-0.673479474454708,-0.173180790165145,-0.468388485464045,-0.73265553098943
"Eutropis_longicaudata",-0.841103725221615,0.1031794178213,-0.50702968835901,0.260498115452633,1.31838979938063,-0.459838200172334,0.609163348668055
"Eutropis_multicarinata",-0.396082840587828,0.181379534347591,-0.78724165314193,-0.415908005766113,-1.06694677296863,-0.510377921650996,-0.822748906635702
"Eutropis_multifasciata",2.36488088506211,-1.76922799115101,0.0432263050780208,-1.29436056825918,0.0413936097323526,0.514148845489938,1.04351450646287
"Lygosoma_bowringii",0.101085796480797,-0.0541222902111,-0.204311587728623,-0.774214543529461,-0.342719212641351,-0.20823077987432,-0.92372895516284
"Plestiodon_capito",0.410770063869555,0.326563952652097,-0.204332016553156,-0.533351099724843,-0.223350533590952,-0.695988854208167,-0.591553312919363
"Plestiodon_chinensis",2.80740117252742,1.29067648118756,1.16020832022383,-0.413319718331323,1.94722066191305,-1.9303124583733,0.494362254285433
"Plestiodon_elegans",1.1624929694841,-0.124843653315905,0.742699896700587,-1.15899343887068,0.93165299968869,-0.116955384471792,-0.81564825044752
"Plestiodon_leucostictus",0.578840850515769,0.23872249460898,-0.00160324688842633,-0.661719306272559,0.0266551361370185,-0.583299189469105,-0.631854563472919
"Plestiodon_liui",0.601439008756153,-0.607656722448871,0.600293922785683,-1.41333176215542,0.585257828077281,0.50155400507601,-1.26247353888357
"Plestiodon_quadrilineatus",-0.449637991384587,0.13529283229399,-0.800834950651989,-0.440185754806929,-1.10001176662244,-0.451338389012343,-0.865400411440961
