"taxa"	"result.synonym"
"REPTILIA_SQUAMATA_COLUBRIDAE_Oligodon_eberhardti"	NA
"REPTILIA_SQUAMATA_COLUBRIDAE_Oligodon_lungshenensis"	NA
"REPTILIA_SQUAMATA_NATRICIDAE_Paratapinophis_praemaxillaris"	NA
"REPTILIA_SQUAMATA_PSEUDOXENODONTIDAE_Plagiopholis_nuchalis"	NA
"REPTILIA_SQUAMATA_SCINCIDAE_Plestiodon_leucostictus"	NA
"REPTILIA_SQUAMATA_SCINCIDAE_Plestiodon_popei"	NA
"REPTILIA_SQUAMATA_SCINCIDAE_Scincella_barbouri"	NA
"REPTILIA_SQUAMATA_SCINCIDAE_Scincella_monticola"	NA
"REPTILIA_SQUAMATA_SCINCIDAE_Scincella_ochracea"	NA
"REPTILIA_SQUAMATA_SCINCIDAE_Scincella_przewalskii"	NA
"REPTILIA_SQUAMATA_SCINCIDAE_Scincella_schmidti"	NA
"REPTILIA_SQUAMATA_SCINCIDAE_Sphenomorphus_taiwanensis"	NA
"REPTILIA_SQUAMATA_GEKKONIDAE_Tenuidactylus_dadunensis"	NA
"REPTILIA_SQUAMATA_SCINCIDAE_Tropidophorus_guangxiensis"	NA
"REPTILIA_SQUAMATA_Scincidae_Scincella_ladacensis"	NA
"REPTILIA_SQUAMATA_Gecko_Cyrtopodion_medogense"	NA
"REPTILIA_SQUAMATA_Agamidae_Diploderma_fasciatum"	NA
"REPTILIA_SQUAMATA_Scincidae_Sphenomorphus_courcyanum"	NA
"REPTILIA_SQUAMATA_Lacertidae_Eremias_roborowskii"	NA
"REPTILIA_SQUAMATA_Gecko_Goniurosaurus_sinensis"	NA
"REPTILIA_SQUAMATA_Varanidae_Varanus_irrawadicus"	NA
