"taxa"	"result.synonym"
"AVES_CHARADRIIFORMES_GLAREOLIDAE_Glareola_lactea"	NA
"AVES_PASSERIFORMES_PELLORNEIDAE_Graminicola_striatus"	NA
"AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_certhiola"	"Locustella_certhiola"
"AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_fasciolata"	"Locustella_fasciolata"
"AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_ochotensis"	"Locustella_ochotensis"
"AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pleskei"	"Locustella_pleskei"
"AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pryeri"	"Locustella_pryeri"
"AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pryeri"	"Megalurus_pryeri"
"AVES_CAPRIMULGIFORMES_HEMIPROCNIDAE_Hemiprocne_coronata"	NA
"AVES_PASSERIFORMES_SCOTOCERCIDAE_Hemitesia_pallidipes"	"Cettia_pallidipes"
"AVES_PSITTACIFORMES_PSITTACIDAE_Himalayapsitta_finschii"	"Psittacula_finschii"
"AVES_PSITTACIFORMES_PSITTACIDAE_Himalayapsitta_roseata"	"Psittacula_roseata"
"AVES_CAPRIMULGIFORMES_APODIDAE_Hirundapus_cochinchinensis"	NA
"AVES_PASSERIFORMES_PITTIDAE_Hydrornis_cyaneus"	"Pitta_cyanea"
"AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Icthyophaga_humilis"	"Ichthyophaga_humilis"
"AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Ictinaetus_malaiensis"	"Ictinaetus_malayensis"
"AVES_PASSERIFORMES_MUSCICAPIDAE_Kittacincla_malabarica"	NA
"AVES_PASSERIFORMES_NECTARINIIDAE_Kurochkinegramma_hypogrammica"	"Arachnothera_hypogrammica"
"AVES_PASSERIFORMES_NECTARINIIDAE_Kurochkinegramma_hypogrammica"	"Arachnothera_hypogrammicum"
"AVES_PASSERIFORMES_NECTARINIIDAE_Kurochkinegramma_hypogrammica"	"Hypogramma_hypogrammicum"
"AVES_PASSERIFORMES_CAMPEPHAGIDAE_Lalage_melaschistos"	"Coracina_melaschistos"
"AVES_PASSERIFORMES_LANIIDAE_Lanius_borealis"	NA
"AVES_PASSERIFORMES_LANIIDAE_Lanius_giganteus"	NA
"AVES_PASSERIFORMES_LANIIDAE_Lanius_phoenicuroides"	NA
"AVES_PASSERIFORMES_MUSCICAPIDAE_Larvivora_cyane"	"Luscinia_cyane"
"AVES_GRUIFORMES_GRUIDAE_Leucogeranus_leucogeranus"	"Grus_leucogeranus"
"AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_alishanensis"	"Bradypterus_alishanensis"
"AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_davidi"	"Bradypterus_davidi"
"AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_luteoventris"	"Bradypterus_luteoventris"
"AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_major"	"Bradypterus_major"
"AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_tacsanowskia"	"Bradypterus_tacsanowskius"
"AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_thoracica"	NA
"AVES_ANSERIFORMES_ANATIDAE_Melanitta_stejnegeri"	"Melanitta_fusca"
"AVES_PASSERIFORMES_MUSCICAPIDAE_Myophonus_insularis"	NA
"AVES_PASSERIFORMES_SYLVIIDAE_Neosuthora_davidiana"	"Paradoxornis_davidianus"
"AVES_PASSERIFORMES_MUSCICAPIDAE_Niltava_oatesi"	NA
"AVES_PELECANIFORMES_ARDEIDAE_Oroanassa_magnifica"	"Gorsachius_magnificus"
