AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_arvalis	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_arvalis
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_aurantiventris	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_aurantiventris
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_chenfui	AMPHIBIA_ANURA_RHACOPHORIDAE_Polypedates_chenfui
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_chenfui	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_chenfui
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_dennysi	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_dennysi
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_hui	AMPHIBIA_ANURA_RHACOPHORIDAE_Polypedates_zhaojuensis
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_hui	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_hui
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_hui	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_zhaojuensis
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_hungfuensis	AMPHIBIA_ANURA_RHACOPHORIDAE_Polypedates_hungfuensis
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_hungfuensis	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_hungfuensis
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_leucofasciatus	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_leucofasciatus
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_lishuiensis	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_lishuiensis
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_minimus	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_minimus
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_nigropunctatus	AMPHIBIA_ANURA_RHACOPHORIDAE_Polypedates_nigropunctatus
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_nigropunctatus	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_nigropunctatus
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_prasinatus	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_prasinatus
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_prasinatus	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_smaragdinus
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_wui	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_wui
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_yaoshanensis	AMPHIBIA_ANURA_RHACOPHORIDAE_Polypedates_yaoshanensis
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_yaoshanensis	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_yaoshanensis
AMPHIBIA_ANURA_RHACOPHORIDAE_Zhangixalus_yinggelingensis	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_yinggelingensis
AVES_PASSERIFORMES_STURNIDAE_Acridotheres_burmannicus	AVES_PASSERIFORMES_STURNIDAE_Acridotheres_burmannicus
AVES_PASSERIFORMES_LEIOTRICHIDAE_Actinodura_radcliffei	AVES_PASSERIFORMES_LEIOTRICHIDAE_Actinodura_radcliffei
AVES_PASSERIFORMES_AEGITHALIDAE_Aegithalos_iredalei	AVES_PASSERIFORMES_AEGITHALIDAE_Aegithalos_iredalei
AVES_PASSERIFORMES_NECTARINIIDAE_Aethopyga_latouchii	AVES_PASSERIFORMES_NECTARINIIDAE_Aethopyga_latouchii
AVES_PASSERIFORMES_FRINGILLIDAE_Agraphospiza_rubescens	AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_rubescens
AVES_PASSERIFORMES_STURNIDAE_Agropsar_philippensis	AVES_PASSERIFORMES_STURNIDAE_Sturnus_philippensis
AVES_PASSERIFORMES_ALAUDIDAE_Alauda_leucoptera	AVES_PASSERIFORMES_ALAUDIDAE_Melanocorypha_leucoptera
AVES_PASSERIFORMES_ALAUDIDAE_Alaudala_rufescens	AVES_PASSERIFORMES_ALAUDIDAE_Alaudala_cheleensis
AVES_PASSERIFORMES_PYCNONOTIDAE_Alcurus_striatus	AVES_PASSERIFORMES_PYCNONOTIDAE_Pycnonotus_striatus
AVES_PSITTACIFORMES_PSITTACIDAE_Alexandrinus_krameri	AVES_PSITTACIFORMES_PSITTACIDAE_Psittacula_krameri
AVES_ANSERIFORMES_ANATIDAE_Anser_cygnoid	AVES_ANSERIFORMES_ANATIDAE_Anser_cygnoides
AVES_STRIGIFORMES_STRIGIDAE_Bubo_coromandus	AVES_STRIGIFORMES_STRIGIDAE_Bubo_coromandus
AVES_CHARADRIIFORMES_SCOLOPACIDAE_Calidris_falcinellus	AVES_CHARADRIIFORMES_SCOLOPACIDAE_Limicola_falcinellus
AVES_PASSERIFORMES_MUSCICAPIDAE_Calliope_tschebaiewi	AVES_PASSERIFORMES_MUSCICAPIDAE_Calliope_tschebaiewi
AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_dubius	AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_dubius
AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_sipahi	AVES_PASSERIFORMES_FRINGILLIDAE_Haematospiza_sipahi
AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_stoliczkae	AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_stoliczkae
AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_subhimachalus	AVES_PASSERIFORMES_FRINGILLIDAE_Pinicola_subhimachala
AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_subhimachalus	AVES_PASSERIFORMES_FRINGILLIDAE_Pinicola_subhimachalus_
AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_verreauxii	AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_verreauxii
AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_waltoni	AVES_PASSERIFORMES_FRINGILLIDAE_Carpodacus_waltoni
AVES_PASSERIFORMES_SYLVIIDAE_Chleuasicus_atrosuperciliaris	AVES_PASSERIFORMES_SYLVIIDAE_Paradoxornis_atrosuperciliaris
AVES_PASSERIFORMES_CHLOROPSEIDAE_Chloropsis_lazulina	AVES_PASSERIFORMES_CHLOROPSEIDAE_Chloropsis_lazulina
AVES_PASSERIFORMES_CHLOROPSEIDAE_Chloropsis_moluccensis	AVES_PASSERIFORMES_CHLOROPSEIDAE_Chloropsis_moluccensis
AVES_PASSERIFORMES_SYLVIIDAE_Cholornis_paradoxus	AVES_PASSERIFORMES_SYLVIIDAE_Paradoxornis_paradoxus
AVES_PICIFORMES_PICIDAE_Chrysocolaptes_guttacristatus	AVES_PICIFORMES_PICIDAE_Chrysocolaptes_guttacristatus
AVES_COLUMBIFORMES_COLUMBIDAE_Columba_eversmanni	AVES_COLUMBIFORMES_COLUMBIDAE_Columba_eversmanni
AVES_COLUMBIFORMES_COLUMBIDAE_Columba_punicea	AVES_COLUMBIFORMES_COLUMBIDAE_Columba_punicea
AVES_CORACIIFORMES_CORACIIDAE_Coracias_affinis	AVES_CORACIIFORMES_CORACIIDAE_Coracias_affinis
AVES_PASSERIFORMES_MUSCICAPIDAE_Cyanecula_svecica	AVES_PASSERIFORMES_MUSCICAPIDAE_Luscinia_svecica
AVES_PASSERIFORMES_TIMALIIDAE_Cyanoderma_chrysaeum	AVES_PASSERIFORMES_TIMALIIDAE_Stachyris_chrysaea
AVES_PASSERIFORMES_MUSCICAPIDAE_Cyornis_brunneatus	AVES_PASSERIFORMES_MUSCICAPIDAE_Cyornis_brunneatus
AVES_PASSERIFORMES_HIRUNDINIDAE_Delichon_lagopodum	AVES_PASSERIFORMES_HIRUNDINIDAE_Delichon_lagopodum
AVES_PASSERIFORMES_HIRUNDINIDAE_Delichon_nipalense	AVES_PASSERIFORMES_HIRUNDINIDAE_Delichon_nipalensis_
AVES_PASSERIFORMES_DICRURIDAE_Dicrurus_annectens	AVES_PASSERIFORMES_DICRURIDAE_Dicrurus_annectans
AVES_PICIFORMES_PICIDAE_Dryobates_pernyii	AVES_PICIFORMES_PICIDAE_Dryobates_pernyii
AVES_PASSERIFORMES_EMBERIZIDAE_Emberiza_lathami	AVES_PASSERIFORMES_EMBERIZIDAE_Melophus_lathami
AVES_PASSERIFORMES_TIMALIIDAE_Erythrogenys_erythrocnemis	AVES_PASSERIFORMES_TIMALIIDAE_Pomatorhinus_erythrocnemis
AVES_PASSERIFORMES_TIMALIIDAE_Erythrogenys_hypoleucos	AVES_PASSERIFORMES_TIMALIIDAE_Pomatorhinus_hypoleucos
AVES_CHARADRIIFORMES_BURHINIDAE_Esacus_recurvirostris	AVES_CHARADRIIFORMES_BURHINIDAE_Burhinus_recurvirostris
AVES_PASSERIFORMES_MUSCICAPIDAE_Ficedula_erithacus	AVES_PASSERIFORMES_MUSCICAPIDAE_Ficedula_sordida
AVES_PASSERIFORMES_MUSCICAPIDAE_Ficedula_hodgsoni	AVES_PASSERIFORMES_MUSCICAPIDAE_Muscicapella_hodgsoni
AVES_PASSERIFORMES_SYLVIIDAE_Fulvetta_striaticollis	AVES_PASSERIFORMES_SYLVIIDAE_Alcippe_striaticollis
AVES_CHARADRIIFORMES_SCOLOPACIDAE_Gallinago_nemoricola	AVES_CHARADRIIFORMES_SCOLOPACIDAE_Gallinago_nemoricola
AVES_PASSERIFORMES_PELLORNEIDAE_Gampsorhynchus_torquatus	AVES_PASSERIFORMES_PELLORNEIDAE_Gampsorhynchus_torquatus
AVES_PASSERIFORMES_LEIOTRICHIDAE_Garrulax_cinereiceps	AVES_PASSERIFORMES_LEIOTRICHIDAE_Garrulax_cinereiceps
AVES_PASSERIFORMES_LEIOTRICHIDAE_Garrulax_monachus	AVES_PASSERIFORMES_LEIOTRICHIDAE_Garrulax_monachus
AVES_PASSERIFORMES_LEIOTRICHIDAE_Garrulax_ruficeps	AVES_PASSERIFORMES_LEIOTRICHIDAE_Garrulax_ruficeps
AVES_PASSERIFORMES_CORVIDAE_Garrulus_bispecularis	AVES_PASSERIFORMES_CORVIDAE_Garrulus_bispecularis
AVES_PASSERIFORMES_CORVIDAE_Garrulus_leucotis	AVES_PASSERIFORMES_CORVIDAE_Garrulus_leucotis
AVES_CHARADRIIFORMES_GLAREOLIDAE_Glareola_lactea	AVES_CHARADRIIFORMES_GLAREOLIDAE_Glareola_lactea
AVES_PASSERIFORMES_PELLORNEIDAE_Graminicola_striatus	AVES_PASSERIFORMES_PELLORNEIDAE_Graminicola_striatus
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_certhiola	AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_certhiola
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_fasciolata	AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_fasciolata
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_ochotensis	AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_ochotensis
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pleskei	AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_pleskei
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pryeri	AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_pryeri
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pryeri	AVES_PASSERIFORMES_LOCUSTELLIDAE_Megalurus_pryeri
AVES_CAPRIMULGIFORMES_HEMIPROCNIDAE_Hemiprocne_coronata	AVES_CAPRIMULGIFORMES_HEMIPROCNIDAE_Hemiprocne_coronata
AVES_PASSERIFORMES_SCOTOCERCIDAE_Hemitesia_pallidipes	AVES_PASSERIFORMES_SCOTOCERCIDAE_Cettia_pallidipes
