taxa	binomial	name	count	result.accepted_id	result.authority	result.synonym	result.syn_authority
AVES_PASSERIFORMES_LEIOTRICHIDAE_Grammatoptila_striata	Grammatoptila striata	Grammatoptila striata	1	22715620	(Vigors, 1831)	Garrulax_striatus	(Vigors, 1831)
AVES_PASSERIFORMES_TURDIDAE_Grandala_coelicolor	Grandala coelicolor	NA	NA	NA	NA	NA	NA
AVES_GRUIFORMES_GRUIDAE_Grus_antigone	Grus antigone	Grus antigone	2	22692064	(Linnaeus, 1758)	Antigone_antigone	(Linnaeus, 1758)
AVES_GRUIFORMES_GRUIDAE_Grus_antigone	Grus antigone	Grus antigone	2	22692064	(Linnaeus, 1758)	Ardea_antigone	Linnaeus, 1758
AVES_GRUIFORMES_GRUIDAE_Grus_grus	Grus grus	NA	NA	NA	NA	NA	NA
AVES_GRUIFORMES_GRUIDAE_Grus_japonensis	Grus japonensis	NA	NA	NA	NA	NA	NA
AVES_GRUIFORMES_GRUIDAE_Grus_monacha	Grus monacha	NA	NA	NA	NA	NA	NA
AVES_GRUIFORMES_GRUIDAE_Grus_nigricollis	Grus nigricollis	NA	NA	NA	NA	NA	NA
AVES_GRUIFORMES_GRUIDAE_Grus_vipio	Grus vipio	Grus vipio	2	22692073	Pallas, 1811	Antigone_vipio	(Pallas, 1811)
AVES_GRUIFORMES_GRUIDAE_Grus_vipio	Grus vipio	Grus vipio	2	22692073	Pallas, 1811	Grus_vipio	Pallas, 1811
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Gypaetus_barbatus	Gypaetus barbatus	NA	NA	NA	NA	NA	NA
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Gyps_bengalensis	Gyps bengalensis	NA	NA	NA	NA	NA	NA
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Gyps_fulvus	Gyps fulvus	NA	NA	NA	NA	NA	NA
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Gyps_himalayensis	Gyps himalayensis	NA	NA	NA	NA	NA	NA
AVES_CHARADRIIFORMES_HAEMATOPODIDAE_Haematopus_ostralegus	Haematopus ostralegus	NA	NA	NA	NA	NA	NA
AVES_CORACIIFORMES_ALCEDINIDAE_Halcyon_coromanda	Halcyon coromanda	NA	NA	NA	NA	NA	NA
AVES_CORACIIFORMES_ALCEDINIDAE_Halcyon_pileata	Halcyon pileata	NA	NA	NA	NA	NA	NA
AVES_CORACIIFORMES_ALCEDINIDAE_Halcyon_smyrnensis	Halcyon smyrnensis	NA	NA	NA	NA	NA	NA
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Haliaeetus_albicilla	Haliaeetus albicilla	NA	NA	NA	NA	NA	NA
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Haliaeetus_leucogaster	Haliaeetus leucogaster	NA	NA	NA	NA	NA	NA
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Haliaeetus_leucoryphus	Haliaeetus leucoryphus	NA	NA	NA	NA	NA	NA
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Haliaeetus_pelagicus	Haliaeetus pelagicus	NA	NA	NA	NA	NA	NA
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Haliastur_indus	Haliastur indus	NA	NA	NA	NA	NA	NA
AVES_TROGONIFORMES_TROGONIDAE_Harpactes_erythrocephalus	Harpactes erythrocephalus	NA	NA	NA	NA	NA	NA
AVES_TROGONIFORMES_TROGONIDAE_Harpactes_oreskios	Harpactes oreskios	NA	NA	NA	NA	NA	NA
AVES_TROGONIFORMES_TROGONIDAE_Harpactes_wardi	Harpactes wardi	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_certhiola	Helopsaltes certhiola	Helopsaltes certhiola	1	22714664	(Pallas, 1811)	Locustella_certhiola	(Pallas, 1811)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_fasciolata	Helopsaltes fasciolata	Helopsaltes fasciolata	1	103783163	(Gray, 1860)	Locustella_fasciolata	(Gray, 1860)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_ochotensis	Helopsaltes ochotensis	Helopsaltes ochotensis	1	22714669	(Middendorff, 1853)	Locustella_ochotensis	(Middendorff, 1853)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pleskei	Helopsaltes pleskei	Helopsaltes pleskei	1	22714674	Taczanowski, 1889	Locustella_pleskei	Taczanowski, 1889
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pryeri	Helopsaltes pryeri	Helopsaltes pryeri	6	22715480	(Seebohm, 1884)	Locustella_pryeri	Seebohm, 1884
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pryeri	Helopsaltes pryeri	Helopsaltes pryeri	6	22715480	(Seebohm, 1884)	Megalurus_pryeri	— BirdLife International (2000)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pryeri	Helopsaltes pryeri	Helopsaltes pryeri	6	22715480	(Seebohm, 1884)	Megalurus_pryeri	— BirdLife International (2004)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pryeri	Helopsaltes pryeri	Helopsaltes pryeri	6	22715480	(Seebohm, 1884)	Megalurus_pryeri	— Collar and Andrew (1988)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pryeri	Helopsaltes pryeri	Helopsaltes pryeri	6	22715480	(Seebohm, 1884)	Megalurus_pryeri	— Collar <i>et al</i>. (1994)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Helopsaltes_pryeri	Helopsaltes pryeri	Helopsaltes pryeri	6	22715480	(Seebohm, 1884)	Megalurus_pryeri	— Sibley and Monroe (1990, 1993)
AVES_CAPRIMULGIFORMES_HEMIPROCNIDAE_Hemiprocne_coronata	Hemiprocne coronata	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_VANGIDAE_Hemipus_picatus	Hemipus picatus	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_SCOTOCERCIDAE_Hemitesia_pallidipes	Hemitesia pallidipes	Hemitesia pallidipes	1	22714371	(Blanford, 1872)	Cettia_pallidipes	(Blanford, 1872)
